;v0.3.11e1_exEcai-3ag_ECAI_Ligne_3All
Average of min size of solve for external context (nc) (avg) ;3.0;
Average of min size of solve for external context (nc) (stddev) ;0.0;
Average of min size of solve for external context (nc) (min) ;3.0;
Average of min size of solve for external context (nc) (max) ;3.0;
Standard deviation of nb of solve for external context (nc) (avg) ;4.642796092394707;
Standard deviation of nb of solve for external context (nc) (stddev) ;0.0;
Standard deviation of nb of solve for external context (nc) (min) ;4.642796092394707;
Standard deviation of nb of solve for external context (nc) (max) ;4.642796092394707;
Standard deviation of total size of solve for external context (nc) (avg) ;38.12552367582058;
Standard deviation of total size of solve for external context (nc) (stddev) ;0.0;
Standard deviation of total size of solve for external context (nc) (min) ;38.12552367582058;
Standard deviation of total size of solve for external context (nc) (max) ;38.12552367582058;
Standard deviation of max size of solve for external context (nc) (avg) ;4.784233364802441;
Standard deviation of max size of solve for external context (nc) (stddev) ;0.0;
Standard deviation of max size of solve for external context (nc) (min) ;4.784233364802441;
Standard deviation of max size of solve for external context (nc) (max) ;4.784233364802441;
Standard deviation of min size of solve for external context (nc) (avg) ;0.0;
Standard deviation of min size of solve for external context (nc) (stddev) ;0.0;
Standard deviation of min size of solve for external context (nc) (min) ;0.0;
Standard deviation of min size of solve for external context (nc) (max) ;0;
Product of nb of  sent messages (avg) ;7161.0;
Product of nb of  sent messages (stddev) ;0.0;
Product of nb of  sent messages (min) ;7161;
Product of nb of  sent messages (max) ;7161;
Product of total size of  sent messages (avg) ;3.152115E7;
Product of total size of  sent messages (stddev) ;0.0;
Product of total size of  sent messages (min) ;31521150;
Product of total size of  sent messages (max) ;31521150;
Product of max size of  sent messages (avg) ;281088.0;
Product of max size of  sent messages (stddev) ;0.0;
Product of max size of  sent messages (min) ;281088;
Product of max size of  sent messages (max) ;281088;
Product of min size of  sent messages (avg) ;0.0;
Product of min size of  sent messages (stddev) ;0.0;
Product of min size of  sent messages (min) ;0;
Product of min size of  sent messages (max) ;0;
Max of nb of  sent messages (avg) ;31.0;
Max of nb of  sent messages (stddev) ;0.0;
Max of nb of  sent messages (min) ;31;
Max of nb of  sent messages (max) ;31;
Max of total size of  sent messages (avg) ;543.0;
Max of total size of  sent messages (stddev) ;0.0;
Max of total size of  sent messages (min) ;543;
Max of total size of  sent messages (max) ;543;
Max of max size of  sent messages (avg) ;72.0;
Max of max size of  sent messages (stddev) ;0.0;
Max of max size of  sent messages (min) ;72;
Max of max size of  sent messages (max) ;72;
Max of min size of  sent messages (avg) ;0.0;
Max of min size of  sent messages (stddev) ;0.0;
Max of min size of  sent messages (min) ;0;
Max of min size of  sent messages (max) ;0;
Min of nb of  sent messages (avg) ;11.0;
Min of nb of  sent messages (stddev) ;0.0;
Min of nb of  sent messages (min) ;11;
Min of nb of  sent messages (max) ;11;
Min of total size of  sent messages (avg) ;150.0;
Min of total size of  sent messages (stddev) ;0.0;
Min of total size of  sent messages (min) ;150;
Min of total size of  sent messages (max) ;150;
Min of max size of  sent messages (avg) ;61.0;
Min of max size of  sent messages (stddev) ;0.0;
Min of max size of  sent messages (min) ;61;
Min of max size of  sent messages (max) ;61;
Min of min size of  sent messages (avg) ;0.0;
Min of min size of  sent messages (stddev) ;0.0;
Min of min size of  sent messages (min) ;0;
Min of min size of  sent messages (max) ;0;
Sum of nb of  sent messages (avg) ;63.0;
Sum of nb of  sent messages (stddev) ;0.0;
Sum of nb of  sent messages (min) ;63;
Sum of nb of  sent messages (max) ;63;
Sum of total size of  sent messages (avg) ;1080.0;
Sum of total size of  sent messages (stddev) ;0.0;
Sum of total size of  sent messages (min) ;1080;
Sum of total size of  sent messages (max) ;1080;
Sum of max size of  sent messages (avg) ;197.0;
Sum of max size of  sent messages (stddev) ;0.0;
Sum of max size of  sent messages (min) ;197;
Sum of max size of  sent messages (max) ;197;
Sum of min size of  sent messages (avg) ;0.0;
Sum of min size of  sent messages (stddev) ;0.0;
Sum of min size of  sent messages (min) ;0;
Sum of min size of  sent messages (max) ;0;
Average of nb of  sent messages (avg) ;21.0;
Average of nb of  sent messages (stddev) ;0.0;
Average of nb of  sent messages (min) ;21.0;
Average of nb of  sent messages (max) ;21.0;
Average of total size of  sent messages (avg) ;360.0;
Average of total size of  sent messages (stddev) ;0.0;
Average of total size of  sent messages (min) ;360.0;
Average of total size of  sent messages (max) ;360.0;
Average of max size of  sent messages (avg) ;65.66666666666667;
Average of max size of  sent messages (stddev) ;0.0;
Average of max size of  sent messages (min) ;65.66666666666667;
Average of max size of  sent messages (max) ;65.66666666666667;
Average of min size of  sent messages (avg) ;0.0;
Average of min size of  sent messages (stddev) ;0.0;
Average of min size of  sent messages (min) ;0.0;
Average of min size of  sent messages (max) ;0;
Standard deviation of nb of  sent messages (avg) ;8.16496580927726;
Standard deviation of nb of  sent messages (stddev) ;0.0;
Standard deviation of nb of  sent messages (min) ;8.16496580927726;
Standard deviation of nb of  sent messages (max) ;8.16496580927726;
Standard deviation of total size of  sent messages (avg) ;161.5735126807609;
Standard deviation of total size of  sent messages (stddev) ;0.0;
Standard deviation of total size of  sent messages (min) ;161.5735126807609;
Standard deviation of total size of  sent messages (max) ;161.5735126807609;
Standard deviation of max size of  sent messages (avg) ;4.642796092394707;
Standard deviation of max size of  sent messages (stddev) ;0.0;
Standard deviation of max size of  sent messages (min) ;4.642796092394707;
Standard deviation of max size of  sent messages (max) ;4.642796092394707;
Standard deviation of min size of  sent messages (avg) ;0.0;
Standard deviation of min size of  sent messages (stddev) ;0.0;
Standard deviation of min size of  sent messages (min) ;0.0;
Standard deviation of min size of  sent messages (max) ;0;
Product of nb of  received messages (avg) ;10948.0;
Product of nb of  received messages (stddev) ;0.0;
Product of nb of  received messages (min) ;10948;
Product of nb of  received messages (max) ;10948;
Product of total size of  received messages (avg) ;3.832032E7;
Product of total size of  received messages (stddev) ;0.0;
Product of total size of  received messages (min) ;38320320;
Product of total size of  received messages (max) ;38320320;
Product of max size of  received messages (avg) ;244224.0;
Product of max size of  received messages (stddev) ;0.0;
Product of max size of  received messages (min) ;244224;
Product of max size of  received messages (max) ;244224;
Product of min size of  received messages (avg) ;0.0;
Product of min size of  received messages (stddev) ;0.0;
Product of min size of  received messages (min) ;0;
Product of min size of  received messages (max) ;0;
Max of nb of  received messages (avg) ;34.0;
Max of nb of  received messages (stddev) ;0.0;
Max of nb of  received messages (min) ;34;
Max of nb of  received messages (max) ;34;
Max of total size of  received messages (avg) ;537.0;
Max of total size of  received messages (stddev) ;0.0;
Max of total size of  received messages (min) ;537;
Max of total size of  received messages (max) ;537;
Max of max size of  received messages (avg) ;72.0;
Max of max size of  received messages (stddev) ;0.0;
Max of max size of  received messages (min) ;72;
Max of max size of  received messages (max) ;72;
Max of min size of  received messages (avg) ;0.0;
Max of min size of  received messages (stddev) ;0.0;
Max of min size of  received messages (min) ;0;
Max of min size of  received messages (max) ;0;
Min of nb of  received messages (avg) ;14.0;
Min of nb of  received messages (stddev) ;0.0;
Min of nb of  received messages (min) ;14;
Min of nb of  received messages (max) ;14;
Min of total size of  received messages (avg) ;223.0;
Min of total size of  received messages (stddev) ;0.0;
Min of total size of  received messages (min) ;223;
Min of total size of  received messages (max) ;223;
Min of max size of  received messages (avg) ;53.0;
Min of max size of  received messages (stddev) ;0.0;
Min of max size of  received messages (min) ;53;
Min of max size of  received messages (max) ;53;
Min of min size of  received messages (avg) ;0.0;
Min of min size of  received messages (stddev) ;0.0;
Min of min size of  received messages (min) ;0;
Min of min size of  received messages (max) ;0;
Sum of nb of  received messages (avg) ;71.0;
Sum of nb of  received messages (stddev) ;0.0;
Sum of nb of  received messages (min) ;71;
Sum of nb of  received messages (max) ;71;
Sum of total size of  received messages (avg) ;1080.0;
Sum of total size of  received messages (stddev) ;0.0;
Sum of total size of  received messages (min) ;1080;
Sum of total size of  received messages (max) ;1080;
Sum of max size of  received messages (avg) ;189.0;
Sum of max size of  received messages (stddev) ;0.0;
Sum of max size of  received messages (min) ;189;
Sum of max size of  received messages (max) ;189;
Sum of min size of  received messages (avg) ;0.0;
Sum of min size of  received messages (stddev) ;0.0;
Sum of min size of  received messages (min) ;0;
Sum of min size of  received messages (max) ;0;
Average of nb of  received messages (avg) ;23.666666666666668;
Average of nb of  received messages (stddev) ;0.0;
Average of nb of  received messages (min) ;23.666666666666668;
Average of nb of  received messages (max) ;23.666666666666668;
Average of total size of  received messages (avg) ;360.0;
Average of total size of  received messages (stddev) ;0.0;
Average of total size of  received messages (min) ;360.0;
Average of total size of  received messages (max) ;360.0;
Average of max size of  received messages (avg) ;63.0;
Average of max size of  received messages (stddev) ;0.0;
Average of max size of  received messages (min) ;63.0;
Average of max size of  received messages (max) ;63.0;
Average of min size of  received messages (avg) ;0.0;
Average of min size of  received messages (stddev) ;0.0;
Average of min size of  received messages (min) ;0.0;
Average of min size of  received messages (max) ;0;
Standard deviation of nb of  received messages (avg) ;8.178562764256865;
Standard deviation of nb of  received messages (stddev) ;0.0;
Standard deviation of nb of  received messages (min) ;8.178562764256865;
Standard deviation of nb of  received messages (max) ;8.178562764256865;
Standard deviation of total size of  received messages (avg) ;131.27325190863016;
Standard deviation of total size of  received messages (stddev) ;0.0;
Standard deviation of total size of  received messages (min) ;131.27325190863016;
Standard deviation of total size of  received messages (max) ;131.27325190863016;
Standard deviation of max size of  received messages (avg) ;7.788880963698615;
Standard deviation of max size of  received messages (stddev) ;0.0;
Standard deviation of max size of  received messages (min) ;7.788880963698615;
Standard deviation of max size of  received messages (max) ;7.788880963698615;
Standard deviation of min size of  received messages (avg) ;0.0;
Standard deviation of min size of  received messages (stddev) ;0.0;
Standard deviation of min size of  received messages (min) ;0.0;
Standard deviation of min size of  received messages (max) ;0;
Product of nb of  initlocalconv (avg) ;0.0;
Product of nb of  initlocalconv (stddev) ;0.0;
Product of nb of  initlocalconv (min) ;0;
Product of nb of  initlocalconv (max) ;0;
Max of nb of  initlocalconv (avg) ;2.0;
Max of nb of  initlocalconv (stddev) ;0.0;
Max of nb of  initlocalconv (min) ;2;
Max of nb of  initlocalconv (max) ;2;
Min of nb of  initlocalconv (avg) ;0.0;
Min of nb of  initlocalconv (stddev) ;0.0;
Min of nb of  initlocalconv (min) ;0;
Min of nb of  initlocalconv (max) ;0;
Sum of nb of  initlocalconv (avg) ;3.0;
Sum of nb of  initlocalconv (stddev) ;0.0;
Sum of nb of  initlocalconv (min) ;3;
Sum of nb of  initlocalconv (max) ;3;
Average of nb of  initlocalconv (avg) ;1.0;
Average of nb of  initlocalconv (stddev) ;0.0;
Average of nb of  initlocalconv (min) ;1.0;
Average of nb of  initlocalconv (max) ;1.0;
Standard deviation of nb of  initlocalconv (avg) ;0.816496580927726;
Standard deviation of nb of  initlocalconv (stddev) ;0.0;
Standard deviation of nb of  initlocalconv (min) ;0.816496580927726;
Standard deviation of nb of  initlocalconv (max) ;0.816496580927726;
Product of nb of  acceptlocalconv (avg) ;1.0;
Product of nb of  acceptlocalconv (stddev) ;0.0;
Product of nb of  acceptlocalconv (min) ;1;
Product of nb of  acceptlocalconv (max) ;1;
Max of nb of  acceptlocalconv (avg) ;1.0;
Max of nb of  acceptlocalconv (stddev) ;0.0;
Max of nb of  acceptlocalconv (min) ;1;
Max of nb of  acceptlocalconv (max) ;1;
Min of nb of  acceptlocalconv (avg) ;1.0;
Min of nb of  acceptlocalconv (stddev) ;0.0;
Min of nb of  acceptlocalconv (min) ;1;
Min of nb of  acceptlocalconv (max) ;1;
Sum of nb of  acceptlocalconv (avg) ;3.0;
Sum of nb of  acceptlocalconv (stddev) ;0.0;
Sum of nb of  acceptlocalconv (min) ;3;
Sum of nb of  acceptlocalconv (max) ;3;
Average of nb of  acceptlocalconv (avg) ;1.0;
Average of nb of  acceptlocalconv (stddev) ;0.0;
Average of nb of  acceptlocalconv (min) ;1.0;
Average of nb of  acceptlocalconv (max) ;1.0;
Standard deviation of nb of  acceptlocalconv (avg) ;0.0;
Standard deviation of nb of  acceptlocalconv (stddev) ;0.0;
Standard deviation of nb of  acceptlocalconv (min) ;0.0;
Standard deviation of nb of  acceptlocalconv (max) ;0;
Product of nb of {started} sent (avg) ;1.0;
Product of nb of {started} sent (stddev) ;0.0;
Product of nb of {started} sent (min) ;1;
Product of nb of {started} sent (max) ;1;
Product of total size of {started} sent (avg) ;0.0;
Product of total size of {started} sent (stddev) ;0.0;
Product of total size of {started} sent (min) ;0;
Product of total size of {started} sent (max) ;0;
Product of max size of {started} sent (avg) ;0.0;
Product of max size of {started} sent (stddev) ;0.0;
Product of max size of {started} sent (min) ;0;
Product of max size of {started} sent (max) ;0;
Product of min size of {started} sent (avg) ;0.0;
Product of min size of {started} sent (stddev) ;0.0;
Product of min size of {started} sent (min) ;0;
Product of min size of {started} sent (max) ;0;
Max of nb of {started} sent (avg) ;1.0;
Max of nb of {started} sent (stddev) ;0.0;
Max of nb of {started} sent (min) ;1;
Max of nb of {started} sent (max) ;1;
Max of total size of {started} sent (avg) ;0.0;
Max of total size of {started} sent (stddev) ;0.0;
Max of total size of {started} sent (min) ;0;
Max of total size of {started} sent (max) ;0;
Max of max size of {started} sent (avg) ;0.0;
Max of max size of {started} sent (stddev) ;0.0;
Max of max size of {started} sent (min) ;0;
Max of max size of {started} sent (max) ;0;
Max of min size of {started} sent (avg) ;0.0;
Max of min size of {started} sent (stddev) ;0.0;
Max of min size of {started} sent (min) ;0;
Max of min size of {started} sent (max) ;0;
Min of nb of {started} sent (avg) ;1.0;
Min of nb of {started} sent (stddev) ;0.0;
Min of nb of {started} sent (min) ;1;
Min of nb of {started} sent (max) ;1;
Min of total size of {started} sent (avg) ;0.0;
Min of total size of {started} sent (stddev) ;0.0;
Min of total size of {started} sent (min) ;0;
Min of total size of {started} sent (max) ;0;
Min of max size of {started} sent (avg) ;0.0;
Min of max size of {started} sent (stddev) ;0.0;
Min of max size of {started} sent (min) ;0;
Min of max size of {started} sent (max) ;0;
Min of min size of {started} sent (avg) ;0.0;
Min of min size of {started} sent (stddev) ;0.0;
Min of min size of {started} sent (min) ;0;
Min of min size of {started} sent (max) ;0;
Sum of nb of {started} sent (avg) ;3.0;
Sum of nb of {started} sent (stddev) ;0.0;
Sum of nb of {started} sent (min) ;3;
Sum of nb of {started} sent (max) ;3;
Sum of total size of {started} sent (avg) ;0.0;
Sum of total size of {started} sent (stddev) ;0.0;
Sum of total size of {started} sent (min) ;0;
Sum of total size of {started} sent (max) ;0;
Sum of max size of {started} sent (avg) ;0.0;
Sum of max size of {started} sent (stddev) ;0.0;
Sum of max size of {started} sent (min) ;0;
Sum of max size of {started} sent (max) ;0;
Sum of min size of {started} sent (avg) ;0.0;
Sum of min size of {started} sent (stddev) ;0.0;
Sum of min size of {started} sent (min) ;0;
Sum of min size of {started} sent (max) ;0;
Average of nb of {started} sent (avg) ;1.0;
Average of nb of {started} sent (stddev) ;0.0;
Average of nb of {started} sent (min) ;1.0;
Average of nb of {started} sent (max) ;1.0;
Average of total size of {started} sent (avg) ;0.0;
Average of total size of {started} sent (stddev) ;0.0;
Average of total size of {started} sent (min) ;0.0;
Average of total size of {started} sent (max) ;0;
Average of max size of {started} sent (avg) ;0.0;
Average of max size of {started} sent (stddev) ;0.0;
Average of max size of {started} sent (min) ;0.0;
Average of max size of {started} sent (max) ;0;
Average of min size of {started} sent (avg) ;0.0;
Average of min size of {started} sent (stddev) ;0.0;
Average of min size of {started} sent (min) ;0.0;
Average of min size of {started} sent (max) ;0;
Standard deviation of nb of {started} sent (avg) ;0.0;
Standard deviation of nb of {started} sent (stddev) ;0.0;
Standard deviation of nb of {started} sent (min) ;0.0;
Standard deviation of nb of {started} sent (max) ;0;
Standard deviation of total size of {started} sent (avg) ;0.0;
Standard deviation of total size of {started} sent (stddev) ;0.0;
Standard deviation of total size of {started} sent (min) ;0.0;
Standard deviation of total size of {started} sent (max) ;0;
Standard deviation of max size of {started} sent (avg) ;0.0;
Standard deviation of max size of {started} sent (stddev) ;0.0;
Standard deviation of max size of {started} sent (min) ;0.0;
Standard deviation of max size of {started} sent (max) ;0;
Standard deviation of min size of {started} sent (avg) ;0.0;
Standard deviation of min size of {started} sent (stddev) ;0.0;
Standard deviation of min size of {started} sent (min) ;0.0;
Standard deviation of min size of {started} sent (max) ;0;
Product of nb of {request} sent (avg) ;-2.0;
Product of nb of {request} sent (stddev) ;0.0;
Product of nb of {request} sent (min) ;-2;
Product of nb of {request} sent (max) ;0;
Product of total size of {request} sent (avg) ;-648.0;
Product of total size of {request} sent (stddev) ;0.0;
Product of total size of {request} sent (min) ;-648;
Product of total size of {request} sent (max) ;0;
Product of max size of {request} sent (avg) ;-324.0;
Product of max size of {request} sent (stddev) ;0.0;
Product of max size of {request} sent (min) ;-324;
Product of max size of {request} sent (max) ;0;
Product of min size of {request} sent (avg) ;-324.0;
Product of min size of {request} sent (stddev) ;0.0;
Product of min size of {request} sent (min) ;-324;
Product of min size of {request} sent (max) ;0;
Max of nb of {request} sent (avg) ;2.0;
Max of nb of {request} sent (stddev) ;0.0;
Max of nb of {request} sent (min) ;2;
Max of nb of {request} sent (max) ;2;
Max of total size of {request} sent (avg) ;36.0;
Max of total size of {request} sent (stddev) ;0.0;
Max of total size of {request} sent (min) ;36;
Max of total size of {request} sent (max) ;36;
Max of max size of {request} sent (avg) ;18.0;
Max of max size of {request} sent (stddev) ;0.0;
Max of max size of {request} sent (min) ;18;
Max of max size of {request} sent (max) ;18;
Max of min size of {request} sent (avg) ;18.0;
Max of min size of {request} sent (stddev) ;0.0;
Max of min size of {request} sent (min) ;18;
Max of min size of {request} sent (max) ;18;
Min of nb of {request} sent (avg) ;-1.0;
Min of nb of {request} sent (stddev) ;0.0;
Min of nb of {request} sent (min) ;-1;
Min of nb of {request} sent (max) ;0;
Min of total size of {request} sent (avg) ;-1.0;
Min of total size of {request} sent (stddev) ;0.0;
Min of total size of {request} sent (min) ;-1;
Min of total size of {request} sent (max) ;0;
Min of max size of {request} sent (avg) ;-1.0;
Min of max size of {request} sent (stddev) ;0.0;
Min of max size of {request} sent (min) ;-1;
Min of max size of {request} sent (max) ;0;
Min of min size of {request} sent (avg) ;-1.0;
Min of min size of {request} sent (stddev) ;0.0;
Min of min size of {request} sent (min) ;-1;
Min of min size of {request} sent (max) ;0;
Sum of nb of {request} sent (avg) ;2.0;
Sum of nb of {request} sent (stddev) ;0.0;
Sum of nb of {request} sent (min) ;2;
Sum of nb of {request} sent (max) ;2;
Sum of total size of {request} sent (avg) ;53.0;
Sum of total size of {request} sent (stddev) ;0.0;
Sum of total size of {request} sent (min) ;53;
Sum of total size of {request} sent (max) ;53;
Sum of max size of {request} sent (avg) ;35.0;
Sum of max size of {request} sent (stddev) ;0.0;
Sum of max size of {request} sent (min) ;35;
Sum of max size of {request} sent (max) ;35;
Sum of min size of {request} sent (avg) ;35.0;
Sum of min size of {request} sent (stddev) ;0.0;
Sum of min size of {request} sent (min) ;35;
Sum of min size of {request} sent (max) ;35;
Average of nb of {request} sent (avg) ;0.6666666666666666;
Average of nb of {request} sent (stddev) ;0.0;
Average of nb of {request} sent (min) ;0.6666666666666666;
Average of nb of {request} sent (max) ;0.6666666666666666;
Average of total size of {request} sent (avg) ;17.666666666666668;
Average of total size of {request} sent (stddev) ;0.0;
Average of total size of {request} sent (min) ;17.666666666666668;
Average of total size of {request} sent (max) ;17.666666666666668;
Average of max size of {request} sent (avg) ;11.666666666666666;
Average of max size of {request} sent (stddev) ;0.0;
Average of max size of {request} sent (min) ;11.666666666666666;
Average of max size of {request} sent (max) ;11.666666666666666;
Average of min size of {request} sent (avg) ;11.666666666666666;
Average of min size of {request} sent (stddev) ;0.0;
Average of min size of {request} sent (min) ;11.666666666666666;
Average of min size of {request} sent (max) ;11.666666666666666;
Standard deviation of nb of {request} sent (avg) ;1.247219128924647;
Standard deviation of nb of {request} sent (stddev) ;0.0;
Standard deviation of nb of {request} sent (min) ;1.247219128924647;
Standard deviation of nb of {request} sent (max) ;1.247219128924647;
Standard deviation of total size of {request} sent (avg) ;15.107025591499548;
Standard deviation of total size of {request} sent (stddev) ;0.0;
Standard deviation of total size of {request} sent (min) ;15.107025591499548;
Standard deviation of total size of {request} sent (max) ;15.107025591499548;
Standard deviation of max size of {request} sent (avg) ;8.956685895029603;
Standard deviation of max size of {request} sent (stddev) ;0.0;
Standard deviation of max size of {request} sent (min) ;8.956685895029603;
Standard deviation of max size of {request} sent (max) ;8.956685895029603;
Standard deviation of min size of {request} sent (avg) ;8.956685895029603;
Standard deviation of min size of {request} sent (stddev) ;0.0;
Standard deviation of min size of {request} sent (min) ;8.956685895029603;
Standard deviation of min size of {request} sent (max) ;8.956685895029603;
Product of nb of {propose} sent (avg) ;8.0;
Product of nb of {propose} sent (stddev) ;0.0;
Product of nb of {propose} sent (min) ;8;
Product of nb of {propose} sent (max) ;8;
Product of total size of {propose} sent (avg) ;273360.0;
Product of total size of {propose} sent (stddev) ;0.0;
Product of total size of {propose} sent (min) ;273360;
Product of total size of {propose} sent (max) ;273360;
Product of max size of {propose} sent (avg) ;89304.0;
Product of max size of {propose} sent (stddev) ;0.0;
Product of max size of {propose} sent (min) ;89304;
Product of max size of {propose} sent (max) ;89304;
Product of min size of {propose} sent (avg) ;3456.0;
Product of min size of {propose} sent (stddev) ;0.0;
Product of min size of {propose} sent (min) ;3456;
Product of min size of {propose} sent (max) ;3456;
Max of nb of {propose} sent (avg) ;4.0;
Max of nb of {propose} sent (stddev) ;0.0;
Max of nb of {propose} sent (min) ;4;
Max of nb of {propose} sent (max) ;4;
Max of total size of {propose} sent (avg) ;134.0;
Max of total size of {propose} sent (stddev) ;0.0;
Max of total size of {propose} sent (min) ;134;
Max of total size of {propose} sent (max) ;134;
Max of max size of {propose} sent (avg) ;61.0;
Max of max size of {propose} sent (stddev) ;0.0;
Max of max size of {propose} sent (min) ;61;
Max of max size of {propose} sent (max) ;61;
Max of min size of {propose} sent (avg) ;24.0;
Max of min size of {propose} sent (stddev) ;0.0;
Max of min size of {propose} sent (min) ;24;
Max of min size of {propose} sent (max) ;24;
Min of nb of {propose} sent (avg) ;1.0;
Min of nb of {propose} sent (stddev) ;0.0;
Min of nb of {propose} sent (min) ;1;
Min of nb of {propose} sent (max) ;1;
Min of total size of {propose} sent (avg) ;24.0;
Min of total size of {propose} sent (stddev) ;0.0;
Min of total size of {propose} sent (min) ;24;
Min of total size of {propose} sent (max) ;24;
Min of max size of {propose} sent (avg) ;24.0;
Min of max size of {propose} sent (stddev) ;0.0;
Min of max size of {propose} sent (min) ;24;
Min of max size of {propose} sent (max) ;24;
Min of min size of {propose} sent (avg) ;6.0;
Min of min size of {propose} sent (stddev) ;0.0;
Min of min size of {propose} sent (min) ;6;
Min of min size of {propose} sent (max) ;6;
Sum of nb of {propose} sent (avg) ;7.0;
Sum of nb of {propose} sent (stddev) ;0.0;
Sum of nb of {propose} sent (min) ;7;
Sum of nb of {propose} sent (max) ;7;
Sum of total size of {propose} sent (avg) ;243.0;
Sum of total size of {propose} sent (stddev) ;0.0;
Sum of total size of {propose} sent (min) ;243;
Sum of total size of {propose} sent (max) ;243;
Sum of max size of {propose} sent (avg) ;146.0;
Sum of max size of {propose} sent (stddev) ;0.0;
Sum of max size of {propose} sent (min) ;146;
Sum of max size of {propose} sent (max) ;146;
Sum of min size of {propose} sent (avg) ;54.0;
Sum of min size of {propose} sent (stddev) ;0.0;
Sum of min size of {propose} sent (min) ;54;
Sum of min size of {propose} sent (max) ;54;
Average of nb of {propose} sent (avg) ;2.3333333333333335;
Average of nb of {propose} sent (stddev) ;0.0;
Average of nb of {propose} sent (min) ;2.3333333333333335;
Average of nb of {propose} sent (max) ;2.3333333333333335;
Average of total size of {propose} sent (avg) ;81.0;
Average of total size of {propose} sent (stddev) ;0.0;
Average of total size of {propose} sent (min) ;81.0;
Average of total size of {propose} sent (max) ;81.0;
Average of max size of {propose} sent (avg) ;48.666666666666664;
Average of max size of {propose} sent (stddev) ;0.0;
Average of max size of {propose} sent (min) ;48.666666666666664;
Average of max size of {propose} sent (max) ;48.666666666666664;
Average of min size of {propose} sent (avg) ;18.0;
Average of min size of {propose} sent (stddev) ;0.0;
Average of min size of {propose} sent (min) ;18.0;
Average of min size of {propose} sent (max) ;18.0;
Standard deviation of nb of {propose} sent (avg) ;1.247219128924647;
Standard deviation of nb of {propose} sent (stddev) ;0.0;
Standard deviation of nb of {propose} sent (min) ;1.247219128924647;
Standard deviation of nb of {propose} sent (max) ;1.247219128924647;
Standard deviation of total size of {propose} sent (avg) ;44.99629614386796;
Standard deviation of total size of {propose} sent (stddev) ;0.0;
Standard deviation of total size of {propose} sent (min) ;44.99629614386796;
Standard deviation of total size of {propose} sent (max) ;44.99629614386796;
Standard deviation of max size of {propose} sent (avg) ;17.441967269268172;
Standard deviation of max size of {propose} sent (stddev) ;0.0;
Standard deviation of max size of {propose} sent (min) ;17.441967269268172;
Standard deviation of max size of {propose} sent (max) ;17.441967269268172;
Standard deviation of min size of {propose} sent (avg) ;8.48528137423857;
Standard deviation of min size of {propose} sent (stddev) ;0.0;
Standard deviation of min size of {propose} sent (min) ;8.48528137423857;
Standard deviation of min size of {propose} sent (max) ;8.48528137423857;
Product of nb of {acknowledge confirmation} sent (avg) ;6.0;
Product of nb of {acknowledge confirmation} sent (stddev) ;0.0;
Product of nb of {acknowledge confirmation} sent (min) ;6;
Product of nb of {acknowledge confirmation} sent (max) ;6;
Product of total size of {acknowledge confirmation} sent (avg) ;38880.0;
Product of total size of {acknowledge confirmation} sent (stddev) ;0.0;
Product of total size of {acknowledge confirmation} sent (min) ;38880;
Product of total size of {acknowledge confirmation} sent (max) ;38880;
Product of max size of {acknowledge confirmation} sent (avg) ;13824.0;
Product of max size of {acknowledge confirmation} sent (stddev) ;0.0;
Product of max size of {acknowledge confirmation} sent (min) ;13824;
Product of max size of {acknowledge confirmation} sent (max) ;13824;
Product of min size of {acknowledge confirmation} sent (avg) ;864.0;
Product of min size of {acknowledge confirmation} sent (stddev) ;0.0;
Product of min size of {acknowledge confirmation} sent (min) ;864;
Product of min size of {acknowledge confirmation} sent (max) ;864;
Max of nb of {acknowledge confirmation} sent (avg) ;3.0;
Max of nb of {acknowledge confirmation} sent (stddev) ;0.0;
Max of nb of {acknowledge confirmation} sent (min) ;3;
Max of nb of {acknowledge confirmation} sent (max) ;3;
Max of total size of {acknowledge confirmation} sent (avg) ;54.0;
Max of total size of {acknowledge confirmation} sent (stddev) ;0.0;
Max of total size of {acknowledge confirmation} sent (min) ;54;
Max of total size of {acknowledge confirmation} sent (max) ;54;
Max of max size of {acknowledge confirmation} sent (avg) ;24.0;
Max of max size of {acknowledge confirmation} sent (stddev) ;0.0;
Max of max size of {acknowledge confirmation} sent (min) ;24;
Max of max size of {acknowledge confirmation} sent (max) ;24;
Max of min size of {acknowledge confirmation} sent (avg) ;24.0;
Max of min size of {acknowledge confirmation} sent (stddev) ;0.0;
Max of min size of {acknowledge confirmation} sent (min) ;24;
Max of min size of {acknowledge confirmation} sent (max) ;24;
Min of nb of {acknowledge confirmation} sent (avg) ;1.0;
Min of nb of {acknowledge confirmation} sent (stddev) ;0.0;
Min of nb of {acknowledge confirmation} sent (min) ;1;
Min of nb of {acknowledge confirmation} sent (max) ;1;
Min of total size of {acknowledge confirmation} sent (avg) ;24.0;
Min of total size of {acknowledge confirmation} sent (stddev) ;0.0;
Min of total size of {acknowledge confirmation} sent (min) ;24;
Min of total size of {acknowledge confirmation} sent (max) ;24;
Min of max size of {acknowledge confirmation} sent (avg) ;24.0;
Min of max size of {acknowledge confirmation} sent (stddev) ;0.0;
Min of max size of {acknowledge confirmation} sent (min) ;24;
Min of max size of {acknowledge confirmation} sent (max) ;24;
Min of min size of {acknowledge confirmation} sent (avg) ;6.0;
