;v0.3.1395e2_exEcai-3ag_ECAI_Clique_3All
Sum of total size of  sent messages (stddev) ;0.0;
Sum of total size of  sent messages (min) ;2540;
Sum of total size of  sent messages (max) ;2540;
Sum of max size of  sent messages (avg) ;224.0;
Sum of max size of  sent messages (stddev) ;0.0;
Sum of max size of  sent messages (min) ;224;
Sum of max size of  sent messages (max) ;224;
Sum of min size of  sent messages (avg) ;0.0;
Sum of min size of  sent messages (stddev) ;0.0;
Sum of min size of  sent messages (min) ;0;
Sum of min size of  sent messages (max) ;0;
Average of nb of  sent messages (avg) ;41.333333333333336;
Average of nb of  sent messages (stddev) ;0.0;
Average of nb of  sent messages (min) ;41.333333333333336;
Average of nb of  sent messages (max) ;41.333333333333336;
Average of total size of  sent messages (avg) ;846.6666666666666;
Average of total size of  sent messages (stddev) ;0.0;
Average of total size of  sent messages (min) ;846.6666666666666;
Average of total size of  sent messages (max) ;846.6666666666666;
Average of max size of  sent messages (avg) ;74.66666666666667;
Average of max size of  sent messages (stddev) ;0.0;
Average of max size of  sent messages (min) ;74.66666666666667;
Average of max size of  sent messages (max) ;74.66666666666667;
Average of min size of  sent messages (avg) ;0.0;
Average of min size of  sent messages (stddev) ;0.0;
Average of min size of  sent messages (min) ;0.0;
Average of min size of  sent messages (max) ;0;
Standard deviation of nb of  sent messages (avg) ;7.71722460186015;
Standard deviation of nb of  sent messages (stddev) ;0.0;
Standard deviation of nb of  sent messages (min) ;7.71722460186015;
Standard deviation of nb of  sent messages (max) ;7.71722460186015;
Standard deviation of total size of  sent messages (avg) ;99.27179301739689;
Standard deviation of total size of  sent messages (stddev) ;0.0;
Standard deviation of total size of  sent messages (min) ;99.27179301739689;
Standard deviation of total size of  sent messages (max) ;99.27179301739689;
Standard deviation of max size of  sent messages (avg) ;1.8856180831641267;
Standard deviation of max size of  sent messages (stddev) ;0.0;
Standard deviation of max size of  sent messages (min) ;1.8856180831641267;
Standard deviation of max size of  sent messages (max) ;1.8856180831641267;
Standard deviation of min size of  sent messages (avg) ;0.0;
Standard deviation of min size of  sent messages (stddev) ;0.0;
Standard deviation of min size of  sent messages (min) ;0.0;
Standard deviation of min size of  sent messages (max) ;0;
Product of nb of  received messages (avg) ;85120.0;
Product of nb of  received messages (stddev) ;0.0;
Product of nb of  received messages (min) ;85120;
Product of nb of  received messages (max) ;85120;
Product of total size of  received messages (avg) ;5.80427344E8;
Product of total size of  received messages (stddev) ;0.0;
Product of total size of  received messages (min) ;580427344;
Product of total size of  received messages (max) ;580427344;
Product of max size of  received messages (avg) ;415872.0;
Product of max size of  received messages (stddev) ;0.0;
Product of max size of  received messages (min) ;415872;
Product of max size of  received messages (max) ;415872;
Product of min size of  received messages (avg) ;0.0;
Product of min size of  received messages (stddev) ;0.0;
Product of min size of  received messages (min) ;0;
Product of min size of  received messages (max) ;0;
Max of nb of  received messages (avg) ;56.0;
Max of nb of  received messages (stddev) ;0.0;
Max of nb of  received messages (min) ;56;
Max of nb of  received messages (max) ;56;
Max of total size of  received messages (avg) ;1042.0;
Max of total size of  received messages (stddev) ;0.0;
Max of total size of  received messages (min) ;1042;
Max of total size of  received messages (max) ;1042;
Max of max size of  received messages (avg) ;76.0;
Max of max size of  received messages (stddev) ;0.0;
Max of max size of  received messages (min) ;76;
Max of max size of  received messages (max) ;76;
Max of min size of  received messages (avg) ;0.0;
Max of min size of  received messages (stddev) ;0.0;
Max of min size of  received messages (min) ;0;
Max of min size of  received messages (max) ;0;
Min of nb of  received messages (avg) ;38.0;
Min of nb of  received messages (stddev) ;0.0;
Min of nb of  received messages (min) ;38;
Min of nb of  received messages (max) ;38;
Min of total size of  received messages (avg) ;686.0;
Min of total size of  received messages (stddev) ;0.0;
Min of total size of  received messages (min) ;686;
Min of total size of  received messages (max) ;686;
Min of max size of  received messages (avg) ;72.0;
Min of max size of  received messages (stddev) ;0.0;
Min of max size of  received messages (min) ;72;
Min of max size of  received messages (max) ;72;
Min of min size of  received messages (avg) ;0.0;
Min of min size of  received messages (stddev) ;0.0;
Min of min size of  received messages (min) ;0;
Min of min size of  received messages (max) ;0;
Sum of nb of  received messages (avg) ;134.0;
Sum of nb of  received messages (stddev) ;0.0;
Sum of nb of  received messages (min) ;134;
Sum of nb of  received messages (max) ;134;
Sum of total size of  received messages (avg) ;2540.0;
Sum of total size of  received messages (stddev) ;0.0;
Sum of total size of  received messages (min) ;2540;
Sum of total size of  received messages (max) ;2540;
Sum of max size of  received messages (avg) ;224.0;
Sum of max size of  received messages (stddev) ;0.0;
Sum of max size of  received messages (min) ;224;
Sum of max size of  received messages (max) ;224;
Sum of min size of  received messages (avg) ;0.0;
Sum of min size of  received messages (stddev) ;0.0;
Sum of min size of  received messages (min) ;0;
Sum of min size of  received messages (max) ;0;
Average of nb of  received messages (avg) ;44.666666666666664;
Average of nb of  received messages (stddev) ;0.0;
Average of nb of  received messages (min) ;44.666666666666664;
Average of nb of  received messages (max) ;44.666666666666664;
Average of total size of  received messages (avg) ;846.6666666666666;
Average of total size of  received messages (stddev) ;0.0;
Average of total size of  received messages (min) ;846.6666666666666;
Average of total size of  received messages (max) ;846.6666666666666;
Average of max size of  received messages (avg) ;74.66666666666667;
Average of max size of  received messages (stddev) ;0.0;
Average of max size of  received messages (min) ;74.66666666666667;
Average of max size of  received messages (max) ;74.66666666666667;
Average of min size of  received messages (avg) ;0.0;
Average of min size of  received messages (stddev) ;0.0;
Average of min size of  received messages (min) ;0.0;
Average of min size of  received messages (max) ;0;
Standard deviation of nb of  received messages (avg) ;8.055363982396383;
Standard deviation of nb of  received messages (stddev) ;0.0;
Standard deviation of nb of  received messages (min) ;8.055363982396383;
Standard deviation of nb of  received messages (max) ;8.055363982396383;
Standard deviation of total size of  received messages (avg) ;147.3891297062153;
Standard deviation of total size of  received messages (stddev) ;0.0;
Standard deviation of total size of  received messages (min) ;147.3891297062153;
Standard deviation of total size of  received messages (max) ;147.3891297062153;
Standard deviation of max size of  received messages (avg) ;1.8856180831641267;
Standard deviation of max size of  received messages (stddev) ;0.0;
Standard deviation of max size of  received messages (min) ;1.8856180831641267;
Standard deviation of max size of  received messages (max) ;1.8856180831641267;
Standard deviation of min size of  received messages (avg) ;0.0;
Standard deviation of min size of  received messages (stddev) ;0.0;
Standard deviation of min size of  received messages (min) ;0.0;
Standard deviation of min size of  received messages (max) ;0;
Product of nb of  initlocalconv (avg) ;6.0;
Product of nb of  initlocalconv (stddev) ;0.0;
Product of nb of  initlocalconv (min) ;6;
Product of nb of  initlocalconv (max) ;6;
Max of nb of  initlocalconv (avg) ;3.0;
Max of nb of  initlocalconv (stddev) ;0.0;
Max of nb of  initlocalconv (min) ;3;
Max of nb of  initlocalconv (max) ;3;
Min of nb of  initlocalconv (avg) ;1.0;
Min of nb of  initlocalconv (stddev) ;0.0;
Min of nb of  initlocalconv (min) ;1;
Min of nb of  initlocalconv (max) ;1;
Sum of nb of  initlocalconv (avg) ;6.0;
Sum of nb of  initlocalconv (stddev) ;0.0;
Sum of nb of  initlocalconv (min) ;6;
Sum of nb of  initlocalconv (max) ;6;
Average of nb of  initlocalconv (avg) ;2.0;
Average of nb of  initlocalconv (stddev) ;0.0;
Average of nb of  initlocalconv (min) ;2.0;
Average of nb of  initlocalconv (max) ;2.0;
Standard deviation of nb of  initlocalconv (avg) ;0.816496580927726;
Standard deviation of nb of  initlocalconv (stddev) ;0.0;
Standard deviation of nb of  initlocalconv (min) ;0.816496580927726;
Standard deviation of nb of  initlocalconv (max) ;0.816496580927726;
Product of nb of  acceptlocalconv (avg) ;6.0;
Product of nb of  acceptlocalconv (stddev) ;0.0;
Product of nb of  acceptlocalconv (min) ;6;
Product of nb of  acceptlocalconv (max) ;6;
Max of nb of  acceptlocalconv (avg) ;3.0;
Max of nb of  acceptlocalconv (stddev) ;0.0;
Max of nb of  acceptlocalconv (min) ;3;
Max of nb of  acceptlocalconv (max) ;3;
Min of nb of  acceptlocalconv (avg) ;1.0;
Min of nb of  acceptlocalconv (stddev) ;0.0;
Min of nb of  acceptlocalconv (min) ;1;
Min of nb of  acceptlocalconv (max) ;1;
Sum of nb of  acceptlocalconv (avg) ;6.0;
Sum of nb of  acceptlocalconv (stddev) ;0.0;
Sum of nb of  acceptlocalconv (min) ;6;
Sum of nb of  acceptlocalconv (max) ;6;
Average of nb of  acceptlocalconv (avg) ;2.0;
Average of nb of  acceptlocalconv (stddev) ;0.0;
Average of nb of  acceptlocalconv (min) ;2.0;
Average of nb of  acceptlocalconv (max) ;2.0;
Standard deviation of nb of  acceptlocalconv (avg) ;0.816496580927726;
Standard deviation of nb of  acceptlocalconv (stddev) ;0.0;
Standard deviation of nb of  acceptlocalconv (min) ;0.816496580927726;
Standard deviation of nb of  acceptlocalconv (max) ;0.816496580927726;
Product of nb of {started} sent (avg) ;1.0;
Product of nb of {started} sent (stddev) ;0.0;
Product of nb of {started} sent (min) ;1;
Product of nb of {started} sent (max) ;1;
Product of total size of {started} sent (avg) ;0.0;
Product of total size of {started} sent (stddev) ;0.0;
Product of total size of {started} sent (min) ;0;
Product of total size of {started} sent (max) ;0;
Product of max size of {started} sent (avg) ;0.0;
Product of max size of {started} sent (stddev) ;0.0;
Product of max size of {started} sent (min) ;0;
Product of max size of {started} sent (max) ;0;
Product of min size of {started} sent (avg) ;0.0;
Product of min size of {started} sent (stddev) ;0.0;
Product of min size of {started} sent (min) ;0;
Product of min size of {started} sent (max) ;0;
Max of nb of {started} sent (avg) ;1.0;
Max of nb of {started} sent (stddev) ;0.0;
Max of nb of {started} sent (min) ;1;
Max of nb of {started} sent (max) ;1;
Max of total size of {started} sent (avg) ;0.0;
Max of total size of {started} sent (stddev) ;0.0;
Max of total size of {started} sent (min) ;0;
Max of total size of {started} sent (max) ;0;
Max of max size of {started} sent (avg) ;0.0;
Max of max size of {started} sent (stddev) ;0.0;
Max of max size of {started} sent (min) ;0;
Max of max size of {started} sent (max) ;0;
Max of min size of {started} sent (avg) ;0.0;
Max of min size of {started} sent (stddev) ;0.0;
Max of min size of {started} sent (min) ;0;
Max of min size of {started} sent (max) ;0;
Min of nb of {started} sent (avg) ;1.0;
Min of nb of {started} sent (stddev) ;0.0;
Min of nb of {started} sent (min) ;1;
Min of nb of {started} sent (max) ;1;
Min of total size of {started} sent (avg) ;0.0;
Min of total size of {started} sent (stddev) ;0.0;
Min of total size of {started} sent (min) ;0;
Min of total size of {started} sent (max) ;0;
Min of max size of {started} sent (avg) ;0.0;
Min of max size of {started} sent (stddev) ;0.0;
Min of max size of {started} sent (min) ;0;
Min of max size of {started} sent (max) ;0;
Min of min size of {started} sent (avg) ;0.0;
Min of min size of {started} sent (stddev) ;0.0;
Min of min size of {started} sent (min) ;0;
Min of min size of {started} sent (max) ;0;
Sum of nb of {started} sent (avg) ;3.0;
Sum of nb of {started} sent (stddev) ;0.0;
Sum of nb of {started} sent (min) ;3;
Sum of nb of {started} sent (max) ;3;
Sum of total size of {started} sent (avg) ;0.0;
Sum of total size of {started} sent (stddev) ;0.0;
Sum of total size of {started} sent (min) ;0;
Sum of total size of {started} sent (max) ;0;
Sum of max size of {started} sent (avg) ;0.0;
Sum of max size of {started} sent (stddev) ;0.0;
Sum of max size of {started} sent (min) ;0;
Sum of max size of {started} sent (max) ;0;
Sum of min size of {started} sent (avg) ;0.0;
Sum of min size of {started} sent (stddev) ;0.0;
Sum of min size of {started} sent (min) ;0;
Sum of min size of {started} sent (max) ;0;
Average of nb of {started} sent (avg) ;1.0;
Average of nb of {started} sent (stddev) ;0.0;
Average of nb of {started} sent (min) ;1.0;
Average of nb of {started} sent (max) ;1.0;
Average of total size of {started} sent (avg) ;0.0;
Average of total size of {started} sent (stddev) ;0.0;
Average of total size of {started} sent (min) ;0.0;
Average of total size of {started} sent (max) ;0;
Average of max size of {started} sent (avg) ;0.0;
Average of max size of {started} sent (stddev) ;0.0;
Average of max size of {started} sent (min) ;0.0;
Average of max size of {started} sent (max) ;0;
Average of min size of {started} sent (avg) ;0.0;
Average of min size of {started} sent (stddev) ;0.0;
Average of min size of {started} sent (min) ;0.0;
Average of min size of {started} sent (max) ;0;
Standard deviation of nb of {started} sent (avg) ;0.0;
Standard deviation of nb of {started} sent (stddev) ;0.0;
Standard deviation of nb of {started} sent (min) ;0.0;
Standard deviation of nb of {started} sent (max) ;0;
Standard deviation of total size of {started} sent (avg) ;0.0;
Standard deviation of total size of {started} sent (stddev) ;0.0;
Standard deviation of total size of {started} sent (min) ;0.0;
Standard deviation of total size of {started} sent (max) ;0;
Standard deviation of max size of {started} sent (avg) ;0.0;
Standard deviation of max size of {started} sent (stddev) ;0.0;
Standard deviation of max size of {started} sent (min) ;0.0;
Standard deviation of max size of {started} sent (max) ;0;
Standard deviation of min size of {started} sent (avg) ;0.0;
Standard deviation of min size of {started} sent (stddev) ;0.0;
Standard deviation of min size of {started} sent (min) ;0.0;
Standard deviation of min size of {started} sent (max) ;0;
Product of nb of {request} sent (avg) ;6.0;
Product of nb of {request} sent (stddev) ;0.0;
Product of nb of {request} sent (min) ;6;
Product of nb of {request} sent (max) ;6;
Product of total size of {request} sent (avg) ;34992.0;
Product of total size of {request} sent (stddev) ;0.0;
Product of total size of {request} sent (min) ;34992;
Product of total size of {request} sent (max) ;34992;
Product of max size of {request} sent (avg) ;5832.0;
Product of max size of {request} sent (stddev) ;0.0;
Product of max size of {request} sent (min) ;5832;
Product of max size of {request} sent (max) ;5832;
Product of min size of {request} sent (avg) ;5832.0;
Product of min size of {request} sent (stddev) ;0.0;
Product of min size of {request} sent (min) ;5832;
Product of min size of {request} sent (max) ;5832;
Max of nb of {request} sent (avg) ;3.0;
Max of nb of {request} sent (stddev) ;0.0;
Max of nb of {request} sent (min) ;3;
Max of nb of {request} sent (max) ;3;
Max of total size of {request} sent (avg) ;54.0;
Max of total size of {request} sent (stddev) ;0.0;
Max of total size of {request} sent (min) ;54;
Max of total size of {request} sent (max) ;54;
Max of max size of {request} sent (avg) ;18.0;
Max of max size of {request} sent (stddev) ;0.0;
Max of max size of {request} sent (min) ;18;
Max of max size of {request} sent (max) ;18;
Max of min size of {request} sent (avg) ;18.0;
Max of min size of {request} sent (stddev) ;0.0;
Max of min size of {request} sent (min) ;18;
Max of min size of {request} sent (max) ;18;
Min of nb of {request} sent (avg) ;1.0;
Min of nb of {request} sent (stddev) ;0.0;
Min of nb of {request} sent (min) ;1;
Min of nb of {request} sent (max) ;1;
Min of total size of {request} sent (avg) ;18.0;
Min of total size of {request} sent (stddev) ;0.0;
Min of total size of {request} sent (min) ;18;
Min of total size of {request} sent (max) ;18;
Min of max size of {request} sent (avg) ;18.0;
Min of max size of {request} sent (stddev) ;0.0;
Min of max size of {request} sent (min) ;18;
Min of max size of {request} sent (max) ;18;
Min of min size of {request} sent (avg) ;18.0;
Min of min size of {request} sent (stddev) ;0.0;
Min of min size of {request} sent (min) ;18;
Min of min size of {request} sent (max) ;18;
Sum of nb of {request} sent (avg) ;6.0;
Sum of nb of {request} sent (stddev) ;0.0;
Sum of nb of {request} sent (min) ;6;
Sum of nb of {request} sent (max) ;6;
Sum of total size of {request} sent (avg) ;108.0;
Sum of total size of {request} sent (stddev) ;0.0;
Sum of total size of {request} sent (min) ;108;
Sum of total size of {request} sent (max) ;108;
Sum of max size of {request} sent (avg) ;54.0;
Sum of max size of {request} sent (stddev) ;0.0;
Sum of max size of {request} sent (min) ;54;
Sum of max size of {request} sent (max) ;54;
Sum of min size of {request} sent (avg) ;54.0;
Sum of min size of {request} sent (stddev) ;0.0;
Sum of min size of {request} sent (min) ;54;
Sum of min size of {request} sent (max) ;54;
Average of nb of {request} sent (avg) ;2.0;
Average of nb of {request} sent (stddev) ;0.0;
Average of nb of {request} sent (min) ;2.0;
Average of nb of {request} sent (max) ;2.0;
Average of total size of {request} sent (avg) ;36.0;
Average of total size of {request} sent (stddev) ;0.0;
Average of total size of {request} sent (min) ;36.0;
Average of total size of {request} sent (max) ;36.0;
Average of max size of {request} sent (avg) ;18.0;
Average of max size of {request} sent (stddev) ;0.0;
Average of max size of {request} sent (min) ;18.0;
Average of max size of {request} sent (max) ;18.0;
Average of min size of {request} sent (avg) ;18.0;
Average of min size of {request} sent (stddev) ;0.0;
Average of min size of {request} sent (min) ;18.0;
Average of min size of {request} sent (max) ;18.0;
Standard deviation of nb of {request} sent (avg) ;0.816496580927726;
Standard deviation of nb of {request} sent (stddev) ;0.0;
Standard deviation of nb of {request} sent (min) ;0.816496580927726;
Standard deviation of nb of {request} sent (max) ;0.816496580927726;
Standard deviation of total size of {request} sent (avg) ;14.696938456699069;
Standard deviation of total size of {request} sent (stddev) ;0.0;
Standard deviation of total size of {request} sent (min) ;14.696938456699069;
Standard deviation of total size of {request} sent (max) ;14.696938456699069;
Standard deviation of max size of {request} sent (avg) ;0.0;
Standard deviation of max size of {request} sent (stddev) ;0.0;
Standard deviation of max size of {request} sent (min) ;0.0;
Standard deviation of max size of {request} sent (max) ;0;
Standard deviation of min size of {request} sent (avg) ;0.0;
Standard deviation of min size of {request} sent (stddev) ;0.0;
Standard deviation of min size of {request} sent (min) ;0.0;
Standard deviation of min size of {request} sent (max) ;0;
Product of nb of {propose} sent (avg) ;160.0;
Product of nb of {propose} sent (stddev) ;0.0;
Product of nb of {propose} sent (min) ;160;
Product of nb of {propose} sent (max) ;160;
Product of total size of {propose} sent (avg) ;7812000.0;
Product of total size of {propose} sent (stddev) ;0.0;
Product of total size of {propose} sent (min) ;7812000;
Product of total size of {propose} sent (max) ;7812000;
Product of max size of {propose} sent (avg) ;352336.0;
Product of max size of {propose} sent (stddev) ;0.0;
Product of max size of {propose} sent (min) ;352336;
Product of max size of {propose} sent (max) ;352336;
Product of min size of {propose} sent (avg) ;864.0;
Product of min size of {propose} sent (stddev) ;0.0;
Product of min size of {propose} sent (min) ;864;
Product of min size of {propose} sent (max) ;864;
Max of nb of {propose} sent (avg) ;8.0;
Max of nb of {propose} sent (stddev) ;0.0;
Max of nb of {propose} sent (min) ;8;
Max of nb of {propose} sent (max) ;8;
Max of total size of {propose} sent (avg) ;248.0;
Max of total size of {propose} sent (stddev) ;0.0;
Max of total size of {propose} sent (min) ;248;
Max of total size of {propose} sent (max) ;248;
Max of max size of {propose} sent (avg) ;76.0;
Max of max size of {propose} sent (stddev) ;0.0;
Max of max size of {propose} sent (min) ;76;
Max of max size of {propose} sent (max) ;76;
Max of min size of {propose} sent (avg) ;24.0;
Max of min size of {propose} sent (stddev) ;0.0;
Max of min size of {propose} sent (min) ;24;
Max of min size of {propose} sent (max) ;24;
Min of nb of {propose} sent (avg) ;4.0;
Min of nb of {propose} sent (stddev) ;0.0;
Min of nb of {propose} sent (min) ;4;
Min of nb of {propose} sent (max) ;4;
Min of total size of {propose} sent (avg) ;140.0;
Min of total size of {propose} sent (stddev) ;0.0;
Min of total size of {propose} sent (min) ;140;
Min of total size of {propose} sent (max) ;140;
Min of max size of {propose} sent (avg) ;61.0;
Min of max size of {propose} sent (stddev) ;0.0;
Min of max size of {propose} sent (min) ;61;
Min of max size of {propose} sent (max) ;61;
Min of min size of {propose} sent (avg) ;6.0;
Min of min size of {propose} sent (stddev) ;0.0;
Min of min size of {propose} sent (min) ;6;
Min of min size of {propose} sent (max) ;6;
Sum of nb of {propose} sent (avg) ;17.0;
Sum of nb of {propose} sent (stddev) ;0.0;
Sum of nb of {propose} sent (min) ;17;
Sum of nb of {propose} sent (max) ;17;
Sum of total size of {propose} sent (avg) ;613.0;
Sum of total size of {propose} sent (stddev) ;0.0;
Sum of total size of {propose} sent (min) ;613;
Sum of total size of {propose} sent (max) ;613;
Sum of max size of {propose} sent (avg) ;213.0;
Sum of max size of {propose} sent (stddev) ;0.0;
Sum of max size of {propose} sent (min) ;213;
Sum of max size of {propose} sent (max) ;213;
Sum of min size of {propose} sent (avg) ;36.0;
Sum of min size of {propose} sent (stddev) ;0.0;
Sum of min size of {propose} sent (min) ;36;
Sum of min size of {propose} sent (max) ;36;
Average of nb of {propose} sent (avg) ;5.666666666666667;
Average of nb of {propose} sent (stddev) ;0.0;
Average of nb of {propose} sent (min) ;5.666666666666667;
Average of nb of {propose} sent (max) ;5.666666666666667;
Average of total size of {propose} sent (avg) ;204.33333333333334;
Average of total size of {propose} sent (stddev) ;0.0;
Average of total size of {propose} sent (min) ;204.33333333333334;
Average of total size of {propose} sent (max) ;204.33333333333334;
Average of max size of {propose} sent (avg) ;71.0;
Average of max size of {propose} sent (stddev) ;0.0;
Average of max size of {propose} sent (min) ;71.0;
Average of max size of {propose} sent (max) ;71.0;
Average of min size of {propose} sent (avg) ;12.0;
Average of min size of {propose} sent (stddev) ;0.0;
Average of min size of {propose} sent (min) ;12.0;
Average of min size of {propose} sent (max) ;12.0;
Standard deviation of nb of {propose} sent (avg) ;1.699673171197595;
Standard deviation of nb of {propose} sent (stddev) ;0.0;
Standard deviation of nb of {propose} sent (min) ;1.699673171197595;
Standard deviation of nb of {propose} sent (max) ;1.699673171197595;
Standard deviation of total size of {propose} sent (avg) ;46.449494674921446;
Standard deviation of total size of {propose} sent (stddev) ;0.0;
Standard deviation of total size of {propose} sent (min) ;46.449494674921446;
Standard deviation of total size of {propose} sent (max) ;46.449494674921446;
Standard deviation of max size of {propose} sent (avg) ;7.0710678118654755;
Standard deviation of max size of {propose} sent (stddev) ;0.0;
Standard deviation of max size of {propose} sent (min) ;7.0710678118654755;
Standard deviation of max size of {propose} sent (max) ;7.0710678118654755;
Standard deviation of min size of {propose} sent (avg) ;8.48528137423857;
Standard deviation of min size of {propose} sent (stddev) ;0.0;
Standard deviation of min size of {propose} sent (min) ;8.48528137423857;
Standard deviation of min size of {propose} sent (max) ;8.48528137423857;
Product of nb of {acknowledge confirmation} sent (avg) ;63.0;
Product of nb of {acknowledge confirmation} sent (stddev) ;0.0;
Product of nb of {acknowledge confirmation} sent (min) ;63;
Product of nb of {acknowledge confirmation} sent (max) ;63;
Product of total size of {acknowledge confirmation} sent (avg) ;946176.0;
Product of total size of {acknowledge confirmation} sent (stddev) ;0.0;
Product of total size of {acknowledge confirmation} sent (min) ;946176;
Product of total size of {acknowledge confirmation} sent (max) ;946176;
Product of max size of {acknowledge confirmation} sent (avg) ;36992.0;
Product of max size of {acknowledge confirmation} sent (stddev) ;0.0;
Product of max size of {acknowledge confirmation} sent (min) ;36992;
Product of max size of {acknowledge confirmation} sent (max) ;36992;
Product of min size of {acknowledge confirmation} sent (avg) ;864.0;
Product of min size of {acknowledge confirmation} sent (stddev) ;0.0;
Product of min size of {acknowledge confirmation} sent (min) ;864;
Product of min size of {acknowledge confirmation} sent (max) ;864;
Max of nb of {acknowledge confirmation} sent (avg) ;7.0;
Max of nb of {acknowledge confirmation} sent (stddev) ;0.0;
Max of nb of {acknowledge confirmation} sent (min) ;7;
Max of nb of {acknowledge confirmation} sent (max) ;7;
Max of total size of {acknowledge confirmation} sent (avg) ;168.0;
Max of total size of {acknowledge confirmation} sent (stddev) ;0.0;
Max of total size of {acknowledge confirmation} sent (min) ;168;
Max of total size of {acknowledge confirmation} sent (max) ;168;
Max of max size of {acknowledge confirmation} sent (avg) ;34.0;
Max of max size of {acknowledge confirmation} sent (stddev) ;0.0;
Max of max size of {acknowledge confirmation} sent (min) ;34;
Max of max size of {acknowledge confirmation} sent (max) ;34;
Max of min size of {acknowledge confirmation} sent (avg) ;24.0;
Max of min size of {acknowledge confirmation} sent (stddev) ;0.0;
Max of min size of {acknowledge confirmation} sent (min) ;24;
Max of min size of {acknowledge confirmation} sent (max) ;24;
Min of nb of {acknowledge confirmation} sent (avg) ;3.0;
Min of nb of {acknowledge confirmation} sent (stddev) ;0.0;
Min of nb of {acknowledge confirmation} sent (min) ;3;
Min of nb of {acknowledge confirmation} sent (max) ;3;
Min of total size of {acknowledge confirmation} sent (avg) ;64.0;
Min of total size of {acknowledge confirmation} sent (stddev) ;0.0;
Min of total size of {acknowledge confirmation} sent (min) ;64;
Min of total size of {acknowledge confirmation} sent (max) ;64;
Min of max size of {acknowledge confirmation} sent (avg) ;32.0;
Min of max size of {acknowledge confirmation} sent (stddev) ;0.0;
Min of max size of {acknowledge confirmation} sent (min) ;32;
Min of max size of {acknowledge confirmation} sent (max) ;32;
Min of min size of {acknowledge confirmation} sent (avg) ;6.0;
Min of min size of {acknowledge confirmation} sent (stddev) ;0.0;
Min of min size of {acknowledge confirmation} sent (min) ;6;
Min of min size of {acknowledge confirmation} sent (max) ;6;
Sum of nb of {acknowledge confirmation} sent (avg) ;13.0;
Sum of nb of {acknowledge confirmation} sent (stddev) ;0.0;
Sum of nb of {acknowledge confirmation} sent (min) ;13;
Sum of nb of {acknowledge confirmation} sent (max) ;13;
Sum of total size of {acknowledge confirmation} sent (avg) ;320.0;
Sum of total size of {acknowledge confirmation} sent (stddev) ;0.0;
Sum of total size of {acknowledge confirmation} sent (min) ;320;
Sum of total size of {acknowledge confirmation} sent (max) ;320;
Sum of max size of {acknowledge confirmation} sent (avg) ;100.0;
Sum of max size of {acknowledge confirmation} sent (stddev) ;0.0;
Sum of max size of {acknowledge confirmation} sent (min) ;100;
Sum of max size of {acknowledge confirmation} sent (max) ;100;
Sum of min size of {acknowledge confirmation} sent (avg) ;36.0;
Sum of min size of {acknowledge confirmation} sent (stddev) ;0.0;
Sum of min size of {acknowledge confirmation} sent (min) ;36;
Sum of min size of {acknowledge confirmation} sent (max) ;36;
Average of nb of {acknowledge confirmation} sent (avg) ;4.333333333333333;
Average of nb of {acknowledge confirmation} sent (stddev) ;0.0;
Average of nb of {acknowledge confirmation} sent (min) ;4.333333333333333;
Average of nb of {acknowledge confirmation} sent (max) ;4.333333333333333;
Average of total size of {acknowledge confirmation} sent (avg) ;106.66666666666667;
Average of total size of {acknowledge confirmation} sent (stddev) ;0.0;
Average of total size of {acknowledge confirmation} sent (min) ;106.66666666666667;
Average of total size of {acknowledge confirmation} sent (max) ;106.66666666666667;
Average of max size of {acknowledge confirmation} sent (avg) ;33.333333333333336;
Average of max size of {acknowledge confirmation} sent (stddev) ;0.0;
Average of max size of {acknowledge confirmation} sent (min) ;33.333333333333336;
Average of max size of {acknowledge confirmation} sent (max) ;33.333333333333336;
Average of min size of {acknowledge confirmation} sent (avg) ;12.0;
Average of min size of {acknowledge confirmation} sent (stddev) ;0.0;
Average of min size of {acknowledge confirmation} sent (min) ;12.0;
Average of min size of {acknowledge confirmation} sent (max) ;12.0;
Standard deviation of nb of {acknowledge confirmation} sent (avg) ;1.8856180831641267;
Standard deviation of nb of {acknowledge confirmation} sent (stddev) ;0.0;
Standard deviation of nb of {acknowledge confirmation} sent (min) ;1.8856180831641267;
Standard deviation of nb of {acknowledge confirmation} sent (max) ;1.8856180831641267;
Standard deviation of total size of {acknowledge confirmation} sent (avg) ;44.46221866808818;
Standard deviation of total size of {acknowledge confirmation} sent (stddev) ;0.0;
Standard deviation of total size of {acknowledge confirmation} sent (min) ;44.46221866808818;
Standard deviation of total size of {acknowledge confirmation} sent (max) ;44.46221866808818;
Standard deviation of max size of {acknowledge confirmation} sent (avg) ;0.9428090415820634;
Standard deviation of max size of {acknowledge confirmation} sent (stddev) ;0.0;
Standard deviation of max size of {acknowledge confirmation} sent (min) ;0.9428090415820634;
Standard deviation of max size of {acknowledge confirmation} sent (max) ;0.9428090415820634;
Standard deviation of min size of {acknowledge confirmation} sent (avg) ;8.48528137423857;
Standard deviation of min size of {acknowledge confirmation} sent (stddev) ;0.0;
Standard deviation of min size of {acknowledge confirmation} sent (min) ;8.48528137423857;
Standard deviation of min size of {acknowledge confirmation} sent (max) ;8.48528137423857;
Product of nb of {acknowledge} sent (avg) ;36.0;
Product of nb of {acknowledge} sent (stddev) ;0.0;
Product of nb of {acknowledge} sent (min) ;36;
Product of nb of {acknowledge} sent (max) ;36;
