;v0.3.136e1_DAREschedule_ECAI_DARE_8Summ
Nb of {End of local conversation} received (stddev) ;0.0;
Nb of {End of local conversation} received (min) ;72;
Nb of {End of local conversation} received (max) ;72;
Total size of {End of local conversation} received (avg) ;720.0;
Total size of {End of local conversation} received (stddev) ;0.0;
Total size of {End of local conversation} received (min) ;720;
Total size of {End of local conversation} received (max) ;720;
Global Max size of {Accept} received (avg) ;420.0;
Global Max size of {Accept} received (stddev) ;0.0;
Global Max size of {Accept} received (min) ;420;
Global Max size of {Accept} received (max) ;420;
Nb of {Accept} received (avg) ;34.0;
Nb of {Accept} received (stddev) ;0.0;
Nb of {Accept} received (min) ;34;
Nb of {Accept} received (max) ;34;
Total size of {Accept} received (avg) ;6762.0;
Total size of {Accept} received (stddev) ;0.0;
Total size of {Accept} received (min) ;6762;
Total size of {Accept} received (max) ;6762;
Global Max size of {Check Context} received (avg) ;388.0;
Global Max size of {Check Context} received (stddev) ;0.0;
Global Max size of {Check Context} received (min) ;388;
Global Max size of {Check Context} received (max) ;388;
Nb of {Check Context} received (avg) ;40.0;
Nb of {Check Context} received (stddev) ;0.0;
Nb of {Check Context} received (min) ;40;
Nb of {Check Context} received (max) ;40;
Total size of {Check Context} received (avg) ;11764.0;
Total size of {Check Context} received (stddev) ;0.0;
Total size of {Check Context} received (min) ;11764;
Total size of {Check Context} received (max) ;11764;
Global Max size of {Coherence counter-example} received (avg) ;2.0;
Global Max size of {Coherence counter-example} received (stddev) ;0.0;
Global Max size of {Coherence counter-example} received (min) ;2;
Global Max size of {Coherence counter-example} received (max) ;2;
Nb of {Coherence counter-example} received (avg) ;5.0;
Nb of {Coherence counter-example} received (stddev) ;0.0;
Nb of {Coherence counter-example} received (min) ;5;
Nb of {Coherence counter-example} received (max) ;5;
Total size of {Coherence counter-example} received (avg) ;14.0;
Total size of {Coherence counter-example} received (stddev) ;0.0;
Total size of {Coherence counter-example} received (min) ;14;
Total size of {Coherence counter-example} received (max) ;14;
Global Max size of {Request} received (avg) ;18.0;
Global Max size of {Request} received (stddev) ;0.0;
Global Max size of {Request} received (min) ;18;
Global Max size of {Request} received (max) ;18;
Nb of {Request} received (avg) ;36.0;
Nb of {Request} received (stddev) ;0.0;
Nb of {Request} received (min) ;36;
Nb of {Request} received (max) ;36;
Total size of {Request} received (avg) ;648.0;
Total size of {Request} received (stddev) ;0.0;
Total size of {Request} received (min) ;648;
Total size of {Request} received (max) ;648;
Global Max size of {Withdraw} received (avg) ;2.0;
Global Max size of {Withdraw} received (stddev) ;0.0;
Global Max size of {Withdraw} received (min) ;2;
Global Max size of {Withdraw} received (max) ;2;
Nb of {Withdraw} received (avg) ;4.0;
Nb of {Withdraw} received (stddev) ;0.0;
Nb of {Withdraw} received (min) ;4;
Nb of {Withdraw} received (max) ;4;
Total size of {Withdraw} received (avg) ;13.0;
Total size of {Withdraw} received (stddev) ;0.0;
Total size of {Withdraw} received (min) ;13;
Total size of {Withdraw} received (max) ;13;
Global Max size of {Has Better Hyp} received (avg) ;420.0;
Global Max size of {Has Better Hyp} received (stddev) ;0.0;
Global Max size of {Has Better Hyp} received (min) ;420;
Global Max size of {Has Better Hyp} received (max) ;420;
Nb of {Has Better Hyp} received (avg) ;3.0;
Nb of {Has Better Hyp} received (stddev) ;0.0;
Nb of {Has Better Hyp} received (min) ;3;
Nb of {Has Better Hyp} received (max) ;3;
Total size of {Has Better Hyp} received (avg) ;2217.0;
Total size of {Has Better Hyp} received (stddev) ;0.0;
Total size of {Has Better Hyp} received (min) ;2217;
Total size of {Has Better Hyp} received (max) ;2217;
Global Max size of {Finish} received (avg) ;0.0;
Global Max size of {Finish} received (stddev) ;0.0;
Global Max size of {Finish} received (min) ;0;
Global Max size of {Finish} received (max) ;0;
Nb of {Finish} received (avg) ;8.0;
Nb of {Finish} received (stddev) ;0.0;
Nb of {Finish} received (min) ;8;
Nb of {Finish} received (max) ;8;
Total size of {Finish} received (avg) ;0.0;
Total size of {Finish} received (stddev) ;0.0;
Total size of {Finish} received (min) ;0;
Total size of {Finish} received (max) ;0;
