;v0.3.136e1_DAREschedule_ECAI-CL_DARE_8All
Max of min size of  received messages (min) ;0;
Max of min size of  received messages (max) ;0;
Min of nb of  received messages (avg) ;15.0;
Min of nb of  received messages (stddev) ;0.0;
Min of nb of  received messages (min) ;15;
Min of nb of  received messages (max) ;15;
Min of total size of  received messages (avg) ;245.0;
Min of total size of  received messages (stddev) ;0.0;
Min of total size of  received messages (min) ;245;
Min of total size of  received messages (max) ;245;
Min of max size of  received messages (avg) ;31.0;
Min of max size of  received messages (stddev) ;0.0;
Min of max size of  received messages (min) ;31;
Min of max size of  received messages (max) ;31;
Min of min size of  received messages (avg) ;0.0;
Min of min size of  received messages (stddev) ;0.0;
Min of min size of  received messages (min) ;0;
Min of min size of  received messages (max) ;0;
Sum of nb of  received messages (avg) ;333.0;
Sum of nb of  received messages (stddev) ;0.0;
Sum of nb of  received messages (min) ;333;
Sum of nb of  received messages (max) ;333;
Sum of total size of  received messages (avg) ;17161.0;
Sum of total size of  received messages (stddev) ;0.0;
Sum of total size of  received messages (min) ;17161;
Sum of total size of  received messages (max) ;17161;
Sum of max size of  received messages (avg) ;977.0;
Sum of max size of  received messages (stddev) ;0.0;
Sum of max size of  received messages (min) ;977;
Sum of max size of  received messages (max) ;977;
Sum of min size of  received messages (avg) ;0.0;
Sum of min size of  received messages (stddev) ;0.0;
Sum of min size of  received messages (min) ;0;
Sum of min size of  received messages (max) ;0;
Average of nb of  received messages (avg) ;41.625;
Average of nb of  received messages (stddev) ;0.0;
Average of nb of  received messages (min) ;41.625;
Average of nb of  received messages (max) ;41.625;
Average of total size of  received messages (avg) ;2145.125;
Average of total size of  received messages (stddev) ;0.0;
Average of total size of  received messages (min) ;2145.125;
Average of total size of  received messages (max) ;2145.125;
Average of max size of  received messages (avg) ;122.125;
Average of max size of  received messages (stddev) ;0.0;
Average of max size of  received messages (min) ;122.125;
Average of max size of  received messages (max) ;122.125;
Average of min size of  received messages (avg) ;0.0;
Average of min size of  received messages (stddev) ;0.0;
Average of min size of  received messages (min) ;0.0;
Average of min size of  received messages (max) ;0;
Standard deviation of nb of  received messages (avg) ;33.626394023147945;
Standard deviation of nb of  received messages (stddev) ;0.0;
Standard deviation of nb of  received messages (min) ;33.626394023147945;
Standard deviation of nb of  received messages (max) ;33.626394023147945;
Standard deviation of total size of  received messages (avg) ;1729.402095920726;
Standard deviation of total size of  received messages (stddev) ;0.0;
Standard deviation of total size of  received messages (min) ;1729.402095920726;
Standard deviation of total size of  received messages (max) ;1729.402095920726;
Standard deviation of max size of  received messages (avg) ;52.69828626245829;
Standard deviation of max size of  received messages (stddev) ;0.0;
Standard deviation of max size of  received messages (min) ;52.69828626245829;
Standard deviation of max size of  received messages (max) ;52.69828626245829;
Standard deviation of min size of  received messages (avg) ;0.0;
Standard deviation of min size of  received messages (stddev) ;0.0;
Standard deviation of min size of  received messages (min) ;0.0;
Standard deviation of min size of  received messages (max) ;0;
Product of nb of  initlocalconv (avg) ;0.0;
Product of nb of  initlocalconv (stddev) ;0.0;
Product of nb of  initlocalconv (min) ;0;
Product of nb of  initlocalconv (max) ;0;
Max of nb of  initlocalconv (avg) ;5.0;
Max of nb of  initlocalconv (stddev) ;0.0;
Max of nb of  initlocalconv (min) ;5;
Max of nb of  initlocalconv (max) ;5;
Min of nb of  initlocalconv (avg) ;0.0;
Min of nb of  initlocalconv (stddev) ;0.0;
Min of nb of  initlocalconv (min) ;0;
Min of nb of  initlocalconv (max) ;0;
Sum of nb of  initlocalconv (avg) ;8.0;
Sum of nb of  initlocalconv (stddev) ;0.0;
Sum of nb of  initlocalconv (min) ;8;
Sum of nb of  initlocalconv (max) ;8;
Average of nb of  initlocalconv (avg) ;1.0;
Average of nb of  initlocalconv (stddev) ;0.0;
Average of nb of  initlocalconv (min) ;1.0;
Average of nb of  initlocalconv (max) ;1.0;
Standard deviation of nb of  initlocalconv (avg) ;1.5811388300841898;
Standard deviation of nb of  initlocalconv (stddev) ;0.0;
Standard deviation of nb of  initlocalconv (min) ;1.5811388300841898;
Standard deviation of nb of  initlocalconv (max) ;1.5811388300841898;
Product of nb of {started} sent (avg) ;1.0;
Product of nb of {started} sent (stddev) ;0.0;
Product of nb of {started} sent (min) ;1;
Product of nb of {started} sent (max) ;1;
Product of total size of {started} sent (avg) ;0.0;
Product of total size of {started} sent (stddev) ;0.0;
Product of total size of {started} sent (min) ;0;
Product of total size of {started} sent (max) ;0;
Product of max size of {started} sent (avg) ;0.0;
Product of max size of {started} sent (stddev) ;0.0;
Product of max size of {started} sent (min) ;0;
Product of max size of {started} sent (max) ;0;
Product of min size of {started} sent (avg) ;0.0;
Product of min size of {started} sent (stddev) ;0.0;
Product of min size of {started} sent (min) ;0;
Product of min size of {started} sent (max) ;0;
Max of nb of {started} sent (avg) ;1.0;
Max of nb of {started} sent (stddev) ;0.0;
Max of nb of {started} sent (min) ;1;
Max of nb of {started} sent (max) ;1;
Max of total size of {started} sent (avg) ;0.0;
Max of total size of {started} sent (stddev) ;0.0;
Max of total size of {started} sent (min) ;0;
Max of total size of {started} sent (max) ;0;
Max of max size of {started} sent (avg) ;0.0;
Max of max size of {started} sent (stddev) ;0.0;
Max of max size of {started} sent (min) ;0;
Max of max size of {started} sent (max) ;0;
Max of min size of {started} sent (avg) ;0.0;
Max of min size of {started} sent (stddev) ;0.0;
Max of min size of {started} sent (min) ;0;
Max of min size of {started} sent (max) ;0;
Min of nb of {started} sent (avg) ;1.0;
Min of nb of {started} sent (stddev) ;0.0;
Min of nb of {started} sent (min) ;1;
Min of nb of {started} sent (max) ;1;
Min of total size of {started} sent (avg) ;0.0;
Min of total size of {started} sent (stddev) ;0.0;
Min of total size of {started} sent (min) ;0;
Min of total size of {started} sent (max) ;0;
Min of max size of {started} sent (avg) ;0.0;
Min of max size of {started} sent (stddev) ;0.0;
Min of max size of {started} sent (min) ;0;
Min of max size of {started} sent (max) ;0;
Min of min size of {started} sent (avg) ;0.0;
Min of min size of {started} sent (stddev) ;0.0;
Min of min size of {started} sent (min) ;0;
Min of min size of {started} sent (max) ;0;
Sum of nb of {started} sent (avg) ;8.0;
Sum of nb of {started} sent (stddev) ;0.0;
Sum of nb of {started} sent (min) ;8;
Sum of nb of {started} sent (max) ;8;
Sum of total size of {started} sent (avg) ;0.0;
Sum of total size of {started} sent (stddev) ;0.0;
Sum of total size of {started} sent (min) ;0;
Sum of total size of {started} sent (max) ;0;
Sum of max size of {started} sent (avg) ;0.0;
Sum of max size of {started} sent (stddev) ;0.0;
Sum of max size of {started} sent (min) ;0;
Sum of max size of {started} sent (max) ;0;
Sum of min size of {started} sent (avg) ;0.0;
Sum of min size of {started} sent (stddev) ;0.0;
Sum of min size of {started} sent (min) ;0;
Sum of min size of {started} sent (max) ;0;
Average of nb of {started} sent (avg) ;1.0;
Average of nb of {started} sent (stddev) ;0.0;
Average of nb of {started} sent (min) ;1.0;
Average of nb of {started} sent (max) ;1.0;
Average of total size of {started} sent (avg) ;0.0;
Average of total size of {started} sent (stddev) ;0.0;
Average of total size of {started} sent (min) ;0.0;
Average of total size of {started} sent (max) ;0;
Average of max size of {started} sent (avg) ;0.0;
Average of max size of {started} sent (stddev) ;0.0;
Average of max size of {started} sent (min) ;0.0;
Average of max size of {started} sent (max) ;0;
Average of min size of {started} sent (avg) ;0.0;
Average of min size of {started} sent (stddev) ;0.0;
Average of min size of {started} sent (min) ;0.0;
Average of min size of {started} sent (max) ;0;
Standard deviation of nb of {started} sent (avg) ;0.0;
Standard deviation of nb of {started} sent (stddev) ;0.0;
Standard deviation of nb of {started} sent (min) ;0.0;
Standard deviation of nb of {started} sent (max) ;0;
Standard deviation of total size of {started} sent (avg) ;0.0;
Standard deviation of total size of {started} sent (stddev) ;0.0;
Standard deviation of total size of {started} sent (min) ;0.0;
Standard deviation of total size of {started} sent (max) ;0;
Standard deviation of max size of {started} sent (avg) ;0.0;
Standard deviation of max size of {started} sent (stddev) ;0.0;
Standard deviation of max size of {started} sent (min) ;0.0;
Standard deviation of max size of {started} sent (max) ;0;
Standard deviation of min size of {started} sent (avg) ;0.0;
Standard deviation of min size of {started} sent (stddev) ;0.0;
Standard deviation of min size of {started} sent (min) ;0.0;
Standard deviation of min size of {started} sent (max) ;0;
Product of nb of {request} sent (avg) ;5.0;
Product of nb of {request} sent (stddev) ;0.0;
Product of nb of {request} sent (min) ;5;
Product of nb of {request} sent (max) ;5;
Product of total size of {request} sent (avg) ;524880.0;
Product of total size of {request} sent (stddev) ;0.0;
Product of total size of {request} sent (min) ;524880;
Product of total size of {request} sent (max) ;524880;
Product of max size of {request} sent (avg) ;104976.0;
Product of max size of {request} sent (stddev) ;0.0;
Product of max size of {request} sent (min) ;104976;
Product of max size of {request} sent (max) ;104976;
Product of min size of {request} sent (avg) ;104976.0;
Product of min size of {request} sent (stddev) ;0.0;
Product of min size of {request} sent (min) ;104976;
Product of min size of {request} sent (max) ;104976;
Max of nb of {request} sent (avg) ;5.0;
Max of nb of {request} sent (stddev) ;0.0;
Max of nb of {request} sent (min) ;5;
Max of nb of {request} sent (max) ;5;
Max of total size of {request} sent (avg) ;90.0;
Max of total size of {request} sent (stddev) ;0.0;
Max of total size of {request} sent (min) ;90;
Max of total size of {request} sent (max) ;90;
Max of max size of {request} sent (avg) ;18.0;
Max of max size of {request} sent (stddev) ;0.0;
Max of max size of {request} sent (min) ;18;
Max of max size of {request} sent (max) ;18;
Max of min size of {request} sent (avg) ;18.0;
Max of min size of {request} sent (stddev) ;0.0;
Max of min size of {request} sent (min) ;18;
Max of min size of {request} sent (max) ;18;
Min of nb of {request} sent (avg) ;-1.0;
Min of nb of {request} sent (stddev) ;0.0;
Min of nb of {request} sent (min) ;-1;
Min of nb of {request} sent (max) ;0;
Min of total size of {request} sent (avg) ;-1.0;
Min of total size of {request} sent (stddev) ;0.0;
Min of total size of {request} sent (min) ;-1;
Min of total size of {request} sent (max) ;0;
Min of max size of {request} sent (avg) ;-1.0;
Min of max size of {request} sent (stddev) ;0.0;
Min of max size of {request} sent (min) ;-1;
Min of max size of {request} sent (max) ;0;
Min of min size of {request} sent (avg) ;-1.0;
Min of min size of {request} sent (stddev) ;0.0;
Min of min size of {request} sent (min) ;-1;
Min of min size of {request} sent (max) ;0;
Sum of nb of {request} sent (avg) ;4.0;
Sum of nb of {request} sent (stddev) ;0.0;
Sum of nb of {request} sent (min) ;4;
Sum of nb of {request} sent (max) ;4;
Sum of total size of {request} sent (avg) ;140.0;
Sum of total size of {request} sent (stddev) ;0.0;
Sum of total size of {request} sent (min) ;140;
Sum of total size of {request} sent (max) ;140;
Sum of max size of {request} sent (avg) ;68.0;
Sum of max size of {request} sent (stddev) ;0.0;
Sum of max size of {request} sent (min) ;68;
Sum of max size of {request} sent (max) ;68;
Sum of min size of {request} sent (avg) ;68.0;
Sum of min size of {request} sent (stddev) ;0.0;
Sum of min size of {request} sent (min) ;68;
Sum of min size of {request} sent (max) ;68;
Average of nb of {request} sent (avg) ;0.5;
Average of nb of {request} sent (stddev) ;0.0;
Average of nb of {request} sent (min) ;0.5;
Average of nb of {request} sent (max) ;0.5;
Average of total size of {request} sent (avg) ;17.5;
Average of total size of {request} sent (stddev) ;0.0;
Average of total size of {request} sent (min) ;17.5;
Average of total size of {request} sent (max) ;17.5;
Average of max size of {request} sent (avg) ;8.5;
Average of max size of {request} sent (stddev) ;0.0;
Average of max size of {request} sent (min) ;8.5;
Average of max size of {request} sent (max) ;8.5;
Average of min size of {request} sent (avg) ;8.5;
Average of min size of {request} sent (stddev) ;0.0;
Average of min size of {request} sent (min) ;8.5;
Average of min size of {request} sent (max) ;8.5;
Standard deviation of nb of {request} sent (avg) ;1.9364916731037085;
Standard deviation of nb of {request} sent (stddev) ;0.0;
Standard deviation of nb of {request} sent (min) ;1.9364916731037085;
Standard deviation of nb of {request} sent (max) ;1.9364916731037085;
Standard deviation of total size of {request} sent (avg) ;28.77933286231632;
Standard deviation of total size of {request} sent (stddev) ;0.0;
Standard deviation of total size of {request} sent (min) ;28.77933286231632;
Standard deviation of total size of {request} sent (max) ;28.77933286231632;
Standard deviation of max size of {request} sent (avg) ;9.5;
Standard deviation of max size of {request} sent (stddev) ;0.0;
Standard deviation of max size of {request} sent (min) ;9.5;
Standard deviation of max size of {request} sent (max) ;9.5;
Standard deviation of min size of {request} sent (avg) ;9.5;
Standard deviation of min size of {request} sent (stddev) ;0.0;
Standard deviation of min size of {request} sent (min) ;9.5;
Standard deviation of min size of {request} sent (max) ;9.5;
Product of nb of {propose} sent (avg) ;540.0;
Product of nb of {propose} sent (stddev) ;0.0;
Product of nb of {propose} sent (min) ;540;
Product of nb of {propose} sent (max) ;540;
Product of total size of {propose} sent (avg) ;7.1840535552E11;
Product of total size of {propose} sent (stddev) ;0.0;
Product of total size of {propose} sent (min) ;718405355520;
Product of total size of {propose} sent (max) ;718405355520;
Product of max size of {propose} sent (avg) ;5.98441608E9;
Product of max size of {propose} sent (stddev) ;0.0;
Product of max size of {propose} sent (min) ;5984416080;
Product of max size of {propose} sent (max) ;5984416080;
Product of min size of {propose} sent (avg) ;8678016.0;
Product of min size of {propose} sent (stddev) ;0.0;
Product of min size of {propose} sent (min) ;8678016;
Product of min size of {propose} sent (max) ;8678016;
Max of nb of {propose} sent (avg) ;30.0;
Max of nb of {propose} sent (stddev) ;0.0;
Max of nb of {propose} sent (min) ;30;
Max of nb of {propose} sent (max) ;30;
Max of total size of {propose} sent (avg) ;3240.0;
Max of total size of {propose} sent (stddev) ;0.0;
Max of total size of {propose} sent (min) ;3240;
Max of total size of {propose} sent (max) ;3240;
Max of max size of {propose} sent (avg) ;155.0;
Max of max size of {propose} sent (stddev) ;0.0;
Max of max size of {propose} sent (min) ;155;
Max of max size of {propose} sent (max) ;155;
Max of min size of {propose} sent (avg) ;31.0;
Max of min size of {propose} sent (stddev) ;0.0;
Max of min size of {propose} sent (min) ;31;
Max of min size of {propose} sent (max) ;31;
Min of nb of {propose} sent (avg) ;1.0;
Min of nb of {propose} sent (stddev) ;0.0;
Min of nb of {propose} sent (min) ;1;
Min of nb of {propose} sent (max) ;1;
Min of total size of {propose} sent (avg) ;6.0;
Min of total size of {propose} sent (stddev) ;0.0;
Min of total size of {propose} sent (min) ;6;
Min of total size of {propose} sent (max) ;6;
Min of max size of {propose} sent (avg) ;6.0;
Min of max size of {propose} sent (stddev) ;0.0;
Min of max size of {propose} sent (min) ;6;
Min of max size of {propose} sent (max) ;6;
Min of min size of {propose} sent (avg) ;6.0;
Min of min size of {propose} sent (stddev) ;0.0;
Min of min size of {propose} sent (min) ;6;
Min of min size of {propose} sent (max) ;6;
Sum of nb of {propose} sent (avg) ;42.0;
Sum of nb of {propose} sent (stddev) ;0.0;
Sum of nb of {propose} sent (min) ;42;
Sum of nb of {propose} sent (max) ;42;
Sum of total size of {propose} sent (avg) ;3437.0;
Sum of total size of {propose} sent (stddev) ;0.0;
Sum of total size of {propose} sent (min) ;3437;
Sum of total size of {propose} sent (max) ;3437;
Sum of max size of {propose} sent (avg) ;272.0;
Sum of max size of {propose} sent (stddev) ;0.0;
Sum of max size of {propose} sent (min) ;272;
Sum of max size of {propose} sent (max) ;272;
Sum of min size of {propose} sent (avg) ;73.0;
Sum of min size of {propose} sent (stddev) ;0.0;
Sum of min size of {propose} sent (min) ;73;
Sum of min size of {propose} sent (max) ;73;
Average of nb of {propose} sent (avg) ;5.25;
Average of nb of {propose} sent (stddev) ;0.0;
Average of nb of {propose} sent (min) ;5.25;
Average of nb of {propose} sent (max) ;5.25;
Average of total size of {propose} sent (avg) ;429.625;
Average of total size of {propose} sent (stddev) ;0.0;
Average of total size of {propose} sent (min) ;429.625;
Average of total size of {propose} sent (max) ;429.625;
Average of max size of {propose} sent (avg) ;34.0;
Average of max size of {propose} sent (stddev) ;0.0;
Average of max size of {propose} sent (min) ;34.0;
Average of max size of {propose} sent (max) ;34.0;
Average of min size of {propose} sent (avg) ;9.125;
Average of min size of {propose} sent (stddev) ;0.0;
Average of min size of {propose} sent (min) ;9.125;
Average of min size of {propose} sent (max) ;9.125;
Standard deviation of nb of {propose} sent (avg) ;9.390819985496474;
Standard deviation of nb of {propose} sent (stddev) ;0.0;
Standard deviation of nb of {propose} sent (min) ;9.390819985496474;
Standard deviation of nb of {propose} sent (max) ;9.390819985496474;
Standard deviation of total size of {propose} sent (avg) ;1062.5288157857178;
Standard deviation of total size of {propose} sent (stddev) ;0.0;
Standard deviation of total size of {propose} sent (min) ;1062.5288157857178;
Standard deviation of total size of {propose} sent (max) ;1062.5288157857178;
Standard deviation of max size of {propose} sent (avg) ;47.17520535196429;
Standard deviation of max size of {propose} sent (stddev) ;0.0;
Standard deviation of max size of {propose} sent (min) ;47.17520535196429;
Standard deviation of max size of {propose} sent (max) ;47.17520535196429;
Standard deviation of min size of {propose} sent (avg) ;8.267972847076846;
Standard deviation of min size of {propose} sent (stddev) ;0.0;
Standard deviation of min size of {propose} sent (min) ;8.267972847076846;
Standard deviation of min size of {propose} sent (max) ;8.267972847076846;
Product of nb of {acknowledge confirmation} sent (avg) ;1680.0;
Product of nb of {acknowledge confirmation} sent (stddev) ;0.0;
Product of nb of {acknowledge confirmation} sent (min) ;1680;
Product of nb of {acknowledge confirmation} sent (max) ;1680;
Product of total size of {acknowledge confirmation} sent (avg) ;2.93240588256E12;
Product of total size of {acknowledge confirmation} sent (stddev) ;0.0;
Product of total size of {acknowledge confirmation} sent (min) ;2932405882560;
Product of total size of {acknowledge confirmation} sent (max) ;2932405882560;
Product of max size of {acknowledge confirmation} sent (avg) ;5.98441608E9;
Product of max size of {acknowledge confirmation} sent (stddev) ;0.0;
Product of max size of {acknowledge confirmation} sent (min) ;5984416080;
Product of max size of {acknowledge confirmation} sent (max) ;5984416080;
Product of min size of {acknowledge confirmation} sent (avg) ;8678016.0;
Product of min size of {acknowledge confirmation} sent (stddev) ;0.0;
Product of min size of {acknowledge confirmation} sent (min) ;8678016;
Product of min size of {acknowledge confirmation} sent (max) ;8678016;
Max of nb of {acknowledge confirmation} sent (avg) ;35.0;
Max of nb of {acknowledge confirmation} sent (stddev) ;0.0;
Max of nb of {acknowledge confirmation} sent (min) ;35;
Max of nb of {acknowledge confirmation} sent (max) ;35;
Max of total size of {acknowledge confirmation} sent (avg) ;3395.0;
Max of total size of {acknowledge confirmation} sent (stddev) ;0.0;
Max of total size of {acknowledge confirmation} sent (min) ;3395;
Max of total size of {acknowledge confirmation} sent (max) ;3395;
Max of max size of {acknowledge confirmation} sent (avg) ;155.0;
Max of max size of {acknowledge confirmation} sent (stddev) ;0.0;
Max of max size of {acknowledge confirmation} sent (min) ;155;
Max of max size of {acknowledge confirmation} sent (max) ;155;
Max of min size of {acknowledge confirmation} sent (avg) ;31.0;
Max of min size of {acknowledge confirmation} sent (stddev) ;0.0;
Max of min size of {acknowledge confirmation} sent (min) ;31;
Max of min size of {acknowledge confirmation} sent (max) ;31;
Min of nb of {acknowledge confirmation} sent (avg) ;1.0;
Min of nb of {acknowledge confirmation} sent (stddev) ;0.0;
Min of nb of {acknowledge confirmation} sent (min) ;1;
Min of nb of {acknowledge confirmation} sent (max) ;1;
Min of total size of {acknowledge confirmation} sent (avg) ;6.0;
Min of total size of {acknowledge confirmation} sent (stddev) ;0.0;
Min of total size of {acknowledge confirmation} sent (min) ;6;
Min of total size of {acknowledge confirmation} sent (max) ;6;
Min of max size of {acknowledge confirmation} sent (avg) ;6.0;
Min of max size of {acknowledge confirmation} sent (stddev) ;0.0;
Min of max size of {acknowledge confirmation} sent (min) ;6;
Min of max size of {acknowledge confirmation} sent (max) ;6;
Min of min size of {acknowledge confirmation} sent (avg) ;6.0;
Min of min size of {acknowledge confirmation} sent (stddev) ;0.0;
Min of min size of {acknowledge confirmation} sent (min) ;6;
Min of min size of {acknowledge confirmation} sent (max) ;6;
Sum of nb of {acknowledge confirmation} sent (avg) ;50.0;
Sum of nb of {acknowledge confirmation} sent (stddev) ;0.0;
Sum of nb of {acknowledge confirmation} sent (min) ;50;
Sum of nb of {acknowledge confirmation} sent (max) ;50;
Sum of total size of {acknowledge confirmation} sent (avg) ;3685.0;
Sum of total size of {acknowledge confirmation} sent (stddev) ;0.0;
Sum of total size of {acknowledge confirmation} sent (min) ;3685;
Sum of total size of {acknowledge confirmation} sent (max) ;3685;
Sum of max size of {acknowledge confirmation} sent (avg) ;272.0;
Sum of max size of {acknowledge confirmation} sent (stddev) ;0.0;
Sum of max size of {acknowledge confirmation} sent (min) ;272;
Sum of max size of {acknowledge confirmation} sent (max) ;272;
Sum of min size of {acknowledge confirmation} sent (avg) ;73.0;
Sum of min size of {acknowledge confirmation} sent (stddev) ;0.0;
Sum of min size of {acknowledge confirmation} sent (min) ;73;
Sum of min size of {acknowledge confirmation} sent (max) ;73;
Average of nb of {acknowledge confirmation} sent (avg) ;6.25;
Average of nb of {acknowledge confirmation} sent (stddev) ;0.0;
Average of nb of {acknowledge confirmation} sent (min) ;6.25;
Average of nb of {acknowledge confirmation} sent (max) ;6.25;
Average of total size of {acknowledge confirmation} sent (avg) ;460.625;
Average of total size of {acknowledge confirmation} sent (stddev) ;0.0;
Average of total size of {acknowledge confirmation} sent (min) ;460.625;
Average of total size of {acknowledge confirmation} sent (max) ;460.625;
Average of max size of {acknowledge confirmation} sent (avg) ;34.0;
Average of max size of {acknowledge confirmation} sent (stddev) ;0.0;
Average of max size of {acknowledge confirmation} sent (min) ;34.0;
Average of max size of {acknowledge confirmation} sent (max) ;34.0;
Average of min size of {acknowledge confirmation} sent (avg) ;9.125;
Average of min size of {acknowledge confirmation} sent (stddev) ;0.0;
Average of min size of {acknowledge confirmation} sent (min) ;9.125;
Average of min size of {acknowledge confirmation} sent (max) ;9.125;
Standard deviation of nb of {acknowledge confirmation} sent (avg) ;10.940178243520533;
Standard deviation of nb of {acknowledge confirmation} sent (stddev) ;0.0;
Standard deviation of nb of {acknowledge confirmation} sent (min) ;10.940178243520533;
Standard deviation of nb of {acknowledge confirmation} sent (max) ;10.940178243520533;
Standard deviation of total size of {acknowledge confirmation} sent (avg) ;1109.785557833134;
Standard deviation of total size of {acknowledge confirmation} sent (stddev) ;0.0;
Standard deviation of total size of {acknowledge confirmation} sent (min) ;1109.785557833134;
Standard deviation of total size of {acknowledge confirmation} sent (max) ;1109.785557833134;
Standard deviation of max size of {acknowledge confirmation} sent (avg) ;47.17520535196429;
Standard deviation of max size of {acknowledge confirmation} sent (stddev) ;0.0;
Standard deviation of max size of {acknowledge confirmation} sent (min) ;47.17520535196429;
Standard deviation of max size of {acknowledge confirmation} sent (max) ;47.17520535196429;
Standard deviation of min size of {acknowledge confirmation} sent (avg) ;8.267972847076846;
Standard deviation of min size of {acknowledge confirmation} sent (stddev) ;0.0;
Standard deviation of min size of {acknowledge confirmation} sent (min) ;8.267972847076846;
Standard deviation of min size of {acknowledge confirmation} sent (max) ;8.267972847076846;
Product of nb of {acknowledge} sent (avg) ;-40.0;
Product of nb of {acknowledge} sent (stddev) ;0.0;
Product of nb of {acknowledge} sent (min) ;-40;
Product of nb of {acknowledge} sent (max) ;0;
Product of total size of {acknowledge} sent (avg) ;-320.0;
Product of total size of {acknowledge} sent (stddev) ;0.0;
Product of total size of {acknowledge} sent (min) ;-320;
Product of total size of {acknowledge} sent (max) ;0;
Product of max size of {acknowledge} sent (avg) ;-8.0;
Product of max size of {acknowledge} sent (stddev) ;0.0;
Product of max size of {acknowledge} sent (min) ;-8;
Product of max size of {acknowledge} sent (max) ;0;
Product of min size of {acknowledge} sent (avg) ;-8.0;
Product of min size of {acknowledge} sent (stddev) ;0.0;
Product of min size of {acknowledge} sent (min) ;-8;
Product of min size of {acknowledge} sent (max) ;0;
Max of nb of {acknowledge} sent (avg) ;10.0;
Max of nb of {acknowledge} sent (stddev) ;0.0;
Max of nb of {acknowledge} sent (min) ;10;
Max of nb of {acknowledge} sent (max) ;10;
Max of total size of {acknowledge} sent (avg) ;20.0;
Max of total size of {acknowledge} sent (stddev) ;0.0;
Max of total size of {acknowledge} sent (min) ;20;
Max of total size of {acknowledge} sent (max) ;20;
Max of max size of {acknowledge} sent (avg) ;2.0;
Max of max size of {acknowledge} sent (stddev) ;0.0;
Max of max size of {acknowledge} sent (min) ;2;
Max of max size of {acknowledge} sent (max) ;2;
Max of min size of {acknowledge} sent (avg) ;2.0;
Max of min size of {acknowledge} sent (stddev) ;0.0;
Max of min size of {acknowledge} sent (min) ;2;
Max of min size of {acknowledge} sent (max) ;2;
Min of nb of {acknowledge} sent (avg) ;-1.0;
Min of nb of {acknowledge} sent (stddev) ;0.0;
Min of nb of {acknowledge} sent (min) ;-1;
Min of nb of {acknowledge} sent (max) ;0;
Min of total size of {acknowledge} sent (avg) ;-1.0;
Min of total size of {acknowledge} sent (stddev) ;0.0;
Min of total size of {acknowledge} sent (min) ;-1;
Min of total size of {acknowledge} sent (max) ;0;
Min of max size of {acknowledge} sent (avg) ;-1.0;
Min of max size of {acknowledge} sent (stddev) ;0.0;
Min of max size of {acknowledge} sent (min) ;-1;
Min of max size of {acknowledge} sent (max) ;0;
Min of min size of {acknowledge} sent (avg) ;-1.0;
Min of min size of {acknowledge} sent (stddev) ;0.0;
Min of min size of {acknowledge} sent (min) ;-1;
Min of min size of {acknowledge} sent (max) ;0;
Sum of nb of {acknowledge} sent (avg) ;9.0;
Sum of nb of {acknowledge} sent (stddev) ;0.0;
Sum of nb of {acknowledge} sent (min) ;9;
Sum of nb of {acknowledge} sent (max) ;9;
Sum of total size of {acknowledge} sent (avg) ;23.0;
Sum of total size of {acknowledge} sent (stddev) ;0.0;
Sum of total size of {acknowledge} sent (min) ;23;
Sum of total size of {acknowledge} sent (max) ;23;
Sum of max size of {acknowledge} sent (avg) ;1.0;
Sum of max size of {acknowledge} sent (stddev) ;0.0;
Sum of max size of {acknowledge} sent (min) ;1;
Sum of max size of {acknowledge} sent (max) ;1;
Sum of min size of {acknowledge} sent (avg) ;1.0;
Sum of min size of {acknowledge} sent (stddev) ;0.0;
Sum of min size of {acknowledge} sent (min) ;1;
Sum of min size of {acknowledge} sent (max) ;1;
Average of nb of {acknowledge} sent (avg) ;1.125;
Average of nb of {acknowledge} sent (stddev) ;0.0;
Average of nb of {acknowledge} sent (min) ;1.125;
Average of nb of {acknowledge} sent (max) ;1.125;
Average of total size of {acknowledge} sent (avg) ;2.875;
Average of total size of {acknowledge} sent (stddev) ;0.0;
Average of total size of {acknowledge} sent (min) ;2.875;
Average of total size of {acknowledge} sent (max) ;2.875;
Average of max size of {acknowledge} sent (avg) ;0.125;
Average of max size of {acknowledge} sent (stddev) ;0.0;
Average of max size of {acknowledge} sent (min) ;0.125;
Average of max size of {acknowledge} sent (max) ;0.125;
Average of min size of {acknowledge} sent (avg) ;0.125;
Average of min size of {acknowledge} sent (stddev) ;0.0;
Average of min size of {acknowledge} sent (min) ;0.125;
Average of min size of {acknowledge} sent (max) ;0.125;
Standard deviation of nb of {acknowledge} sent (avg) ;3.585997071945263;
Standard deviation of nb of {acknowledge} sent (stddev) ;0.0;
Standard deviation of nb of {acknowledge} sent (min) ;3.585997071945263;
Standard deviation of nb of {acknowledge} sent (max) ;3.585997071945263;
Standard deviation of total size of {acknowledge} sent (avg) ;6.808771915698161;
Standard deviation of total size of {acknowledge} sent (stddev) ;0.0;
Standard deviation of total size of {acknowledge} sent (min) ;6.808771915698161;
Standard deviation of total size of {acknowledge} sent (max) ;6.808771915698161;
Standard deviation of max size of {acknowledge} sent (avg) ;1.4523687548277813;
Standard deviation of max size of {acknowledge} sent (stddev) ;0.0;
Standard deviation of max size of {acknowledge} sent (min) ;1.4523687548277813;
Standard deviation of max size of {acknowledge} sent (max) ;1.4523687548277813;
